省份编码,省份,年份,国有经济能源工业固定资产投资(亿元),国有经济煤炭采选业固定资产投资(亿元),国有经济石油和天然气开采业固定资产投资(亿元),国有经济电力、蒸汽、热水生产和供应业固定资产投资(亿元),国有经济石油加工及炼焦业固定资产投资(亿元),国有经济煤气生产和供应业固定资产投资(亿元)
130000,河北省,2010,370.4415,33.8779,4.9753,306.5659,8.2401,16.7823
130000,河北省,2009,209.4149,29.0764,0.9736,147.4826,16.6197,15.2626
130000,河北省,2008,275.7986,18.4406,1.51,226.2538,22.4782,7.116
130000,河北省,2007,257.2598,28.6308,1.7829,193.459,21.3501,12.037
130000,河北省,2006,268.081,42.4205,0.9612,208.9502,6.1975,9.5516
130000,河北省,2005,190.3072,30.6829,2.0904,142.3091,11.0262,4.1986
130000,河北省,2004,96.3052,11.49,,74.6765,3.1955,6.9482
130000,河北省,2003,88.7634,16.6966,0.023,62.756,2.1896,7.1
130000,河北省,2002,80.94,16.56,0.48,56.61,3.81,3.48
130000,河北省,2001,91.52,9.93,0.4,71.93,5.41,3.85
130000,河北省,2000,166.82,19.54,3.35,134.25,7.14,2.53
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,301,63.48,7.0,202,8.99,19.56
140000,山西省,2016,608.1878,145.8738,12.4245,377.4542,33.2885,39.1468
140000,山西省,2015,1194,453.37,53.46,563,75.38,48.18
140000,山西省,2014,1177.7252,482.6699,79.8141,492.5284,98.2473,24.4655
140000,山西省,2013,1011.8065,528.1085,59.8783,322.0271,73.4884,28.3042
140000,山西省,2012,994.6776,622.1833,26.6011,310.3322,3.1804,32.3806
140000,山西省,2011,868,573.41,6.08,259,6.71,22.43
140000,山西省,2010,797.0331,505.0148,5.9773,239.5902,20.2108,26.24
140000,山西省,2009,599.1744,321.9159,4.8448,244.6006,16.7952,11.0179
140000,山西省,2008,538.0851,259.3613,,232.2261,40.1205,6.3772
140000,山西省,2007,441.2941,193.3081,,222.8247,21.6064,3.5549
140000,山西省,2006,332.1796,198.0252,,123.0796,8.9864,2.0884
140000,山西省,2005,263.3576,180.974,,76.5108,5.0808,0.792
140000,山西省,2004,157.7199,104.5978,0.0175,41.5723,8.1061,3.4262
140000,山西省,2003,120.4327,68.6142,,38.8231,6.1113,6.88
140000,山西省,2002,100.04,51.63,,43.36,4.19,0.87
140000,山西省,2001,104.55,42.14,,55.25,4.18,2.98
140000,山西省,2000,106.57,34.25,,66.63,2.9,2.8
150000,内蒙古自治区,2019,,,,,,
150000,内蒙古自治区,2018,,,,,,
150000,内蒙古自治区,2017,796,124.66,48.7,555,6.11,61.16
150000,内蒙古自治区,2016,981.9818,79.2545,51.4771,824.6574,10.5706,16.0222
150000,内蒙古自治区,2015,766,138.99,30.0,587,1.98,7.95
150000,内蒙古自治区,2014,1223.9103,308.4308,126.5406,755.7146,3.2858,29.9385
150000,内蒙古自治区,2013,886.5836,257.3547,129.0075,456.9699,30.8539,12.3976
150000,内蒙古自治区,2012,648.4624,205.5104,38.7845,368.8811,29.1052,6.1812
150000,内蒙古自治区,2011,824,210.74,92.55,450,61.26,9.25
150000,内蒙古自治区,2010,905.6175,166.891,184.4144,536.4734,13.3461,4.4926
150000,内蒙古自治区,2009,821.7102,188.7778,157.2917,434.1326,32.7218,8.7863
150000,内蒙古自治区,2008,695.2477,135.676,175.6872,337.5726,40.4399,5.872
150000,内蒙古自治区,2007,599.9113,103.6026,105.8657,339.7651,48.2155,2.4624
150000,内蒙古自治区,2006,445.2758,70.7256,28.2793,291.7807,51.8537,2.6365
150000,内蒙古自治区,2005,382.0602,31.737,18.0513,307.5918,23.2436,1.4365
150000,内蒙古自治区,2004,225.1798,17.8826,14.8359,180.068,11.1539,1.2394
150000,内蒙古自治区,2003,110.8054,13.7202,5.4625,87.924,1.8183,1.88
150000,内蒙古自治区,2002,47.55,6.55,0.6,38.22,1.31,0.87
150000,内蒙古自治区,2001,31.42,3.94,0.59,24.71,1.42,0.75
150000,内蒙古自治区,2000,33.36,2.49,0.7,29.17,0.26,0.74
210000,辽宁省,2019,,,,,,
210000,辽宁省,2018,,,,,,
210000,辽宁省,2017,195,1.56,2.07,187,2.5,2.2
210000,辽宁省,2016,103.6274,3.2503,0.36,96.7168,1.0534,2.2469
210000,辽宁省,2015,286,2.15,72.57,149,48.8,13.58
210000,辽宁省,2014,329.7736,6.2987,9.559,260.9169,25.3288,27.6702
210000,辽宁省,2013,384.8371,6.1109,12.0734,258.1892,18.9531,89.5105
210000,辽宁省,2012,424.0277,36.1731,4.7995,239.528,32.423,111.1041
210000,辽宁省,2011,366,18.17,24.74,215,43.61,64.71
210000,辽宁省,2010,406.9772,13.8888,16.1765,319.629,22.7126,34.5703
210000,辽宁省,2009,307.1487,11.2726,11.2681,260.4011,17.3053,6.9016
210000,辽宁省,2008,247.7577,17.5302,19.7183,186.9056,17.4397,6.1639
210000,辽宁省,2007,241.2154,14.163,49.4719,160.3792,13.332,3.8693
210000,辽宁省,2006,166.5587,7.9403,34.6332,108.1594,13.6413,2.1845
210000,辽宁省,2005,126.881,15.3435,21.5784,77.0054,8.8058,4.1479
210000,辽宁省,2004,109.9245,9.3848,16.5162,64.944,16.1757,2.9038
210000,辽宁省,2003,99.7994,11.4562,14.2441,62.5412,9.5406,2.02
210000,辽宁省,2002,108.15,7.62,13.88,67.06,18.63,0.96
210000,辽宁省,2001,162.37,6.13,68.55,55.94,29.61,2.14
210000,辽宁省,2000,179.51,7.95,67.5,85.64,16.59,1.83
220000,吉林省,2019,,,,,,
220000,吉林省,2018,,,,,,
220000,吉林省,2017,213,3.87,56.0,134,,18.71
220000,吉林省,2016,230.0024,4.24,63.635,157.3505,,4.7769
220000,吉林省,2015,314,8.48,87.42,205,2.53,10.43
220000,吉林省,2014,306.7708,4.748,87.3165,187.9587,13.7146,13.033
220000,吉林省,2013,266.2601,4.3428,66.455,190.4445,0.95,4.0678
220000,吉林省,2012,228.7387,8.3597,59.267,155.3374,,5.7746
220000,吉林省,2011,253,12.33,54.99,177,0.95,7.03
220000,吉林省,2010,321.0844,13.2109,66.5079,237.8059,0.09,3.4697
220000,吉林省,2009,255.6166,15.8791,80.5394,157.0569,0.2235,1.9177
220000,吉林省,2008,216.9682,16.0407,33.471,160.2316,,7.2249
220000,吉林省,2007,103.8403,8.4863,20.1364,72.5469,0.0769,2.5938
220000,吉林省,2006,79.8774,14.4329,6.2201,57.733,,1.4914
220000,吉林省,2005,46.8546,5.0737,0.14,40.885,0.252,0.5039
220000,吉林省,2004,34.0758,3.0,0.615,28.6998,0.6644,1.0921
220000,吉林省,2003,42.9706,2.2267,5.95,34.3805,0.4134,
220000,吉林省,2002,42.68,1.99,5.49,34.69,0.51,
220000,吉林省,2001,68.11,1.27,32.4,33.39,0.86,0.19
220000,吉林省,2000,66.45,0.84,20.85,43.46,0.55,0.76
230000,黑龙江省,2019,,,,,,
230000,黑龙江省,2018,,,,,,
230000,黑龙江省,2017,192,16.77,7.56,162,2.97,2.42
230000,黑龙江省,2016,109.5974,21.7768,,82.0615,5.0611,0.698
230000,黑龙江省,2015,444,29.21,268.08,128,12.62,5.64
230000,黑龙江省,2014,528.4941,37.7469,302.73,164.4784,16.3522,7.1866
230000,黑龙江省,2013,548.6289,51.3519,322.88,152.4771,14.4022,7.5177
230000,黑龙江省,2012,620.2756,51.7728,296.3716,223.7865,41.1771,7.1676
230000,黑龙江省,2011,566,54.78,337.64,143,21.41,9.51
230000,黑龙江省,2010,586.0635,46.9533,327.0369,180.517,27.1498,4.4065
230000,黑龙江省,2009,313.3172,54.824,98.3896,125.4478,26.2379,8.4179
230000,黑龙江省,2008,283.0556,39.4591,61.4323,150.5927,27.394,4.1775
230000,黑龙江省,2007,180.3578,34.6568,19.3602,110.0164,14.3143,2.0101
230000,黑龙江省,2006,148.7437,33.6771,5.0,88.1938,19.4389,2.4339
230000,黑龙江省,2005,114.2038,22.4822,7.5205,76.4004,7.086,0.7147
230000,黑龙江省,2004,87.7894,14.33,3.2908,55.8502,14.1183,0.2022
230000,黑龙江省,2003,66.477,11.5349,2.0,49.1314,2.8831,0.93
230000,黑龙江省,2002,68.23,8.32,,45.66,11.86,2.39
230000,黑龙江省,2001,78.7,10.48,0.67,56.56,8.82,2.17
230000,黑龙江省,2000,72.04,7.46,0.4,58.69,4.26,1.22
310000,上海市,2019,,,,,,
310000,上海市,2018,,,,,,
310000,上海市,2017,133,,,124,3.96,4.92
310000,上海市,2016,142.468,,,136.4989,1.2192,4.7499
310000,上海市,2015,127,,,117,4.38,5.94
310000,上海市,2014,143.3379,,,128.5489,5.0781,9.7109
310000,上海市,2013,116.0638,,,104.9493,3.0472,8.0673
310000,上海市,2012,114.6715,,,104.9283,5.0231,4.7201
310000,上海市,2011,101,,0.57,95,4.19,1.07
310000,上海市,2010,140.3413,,0.328,123.6607,10.9612,5.3914
310000,上海市,2009,271.5143,,8.2098,247.7407,7.2509,8.3129
310000,上海市,2008,157.699,,28.4075,121.7148,5.527,2.0497
310000,上海市,2007,137.7052,,12.7177,100.3934,19.9448,4.6493
310000,上海市,2006,122.3162,,,114.216,2.6661,5.4341
310000,上海市,2005,108.4338,,,103.285,0.9737,4.1751
310000,上海市,2004,93.1654,,,79.9273,10.8001,2.438
310000,上海市,2003,74.862,,,63.2256,6.9308,4.71
310000,上海市,2002,66.78,,0.28,58.57,5.3,2.63
310000,上海市,2001,77.88,,1.24,67.11,5.83,3.69
310000,上海市,2000,76.1,,2.17,61.71,5.33,6.88
320000,江苏省,2019,,,,,,
320000,江苏省,2018,,,,,,
320000,江苏省,2017,361,,17.61,332,2.92,8.79
320000,江苏省,2016,391.6902,0.495,12.1725,372.3801,3.9877,2.6549
320000,江苏省,2015,681,,44.27,578,44.63,13.6
320000,江苏省,2014,447.216,,35.252,368.3583,32.2912,11.3145
320000,江苏省,2013,404.4408,,30.5929,341.2753,22.018,10.5546
320000,江苏省,2012,416.5809,4.1086,28.1985,351.0898,27.5856,5.5984
320000,江苏省,2011,275,4.59,13.67,246,1.61,9.85
320000,江苏省,2010,293.6355,11.5509,25.7114,196.0196,16.8883,43.4653
320000,江苏省,2009,323.6853,13.6913,25.2422,268.5648,1.2637,14.9233
320000,江苏省,2008,247.8576,12.5154,19.2013,202.1399,1.2746,12.7264
320000,江苏省,2007,174.6774,1.0001,11.2497,160.5544,0.8012,1.072
320000,江苏省,2006,284.8579,7.8537,14.9739,256.938,3.1565,1.9358
320000,江苏省,2005,311.1556,12.3146,11.6192,284.3442,1.5547,1.3229
320000,江苏省,2004,310.333,11.7632,11.1759,280.8497,4.08,2.4642
320000,江苏省,2003,269.9712,15.8179,8.8482,232.2545,8.7235,4.33
320000,江苏省,2002,194,8.4,8.38,166.52,6.17,4.52
320000,江苏省,2001,140.65,5.39,9.07,114.51,10.2,1.47
320000,江苏省,2000,202.11,5.48,10.74,172.25,12.24,1.41
330000,浙江省,2019,,,,,,
330000,浙江省,2018,,,,,,
330000,浙江省,2017,416,,,403,0.12,13.39
330000,浙江省,2016,419.3954,,,387.7882,1.5381,30.0691
330000,浙江省,2015,509,,,482,,26.83
330000,浙江省,2014,528.5649,,,493.7155,7.5451,27.3043
330000,浙江省,2013,458.9257,,,411.0499,6.0854,41.7904
330000,浙江省,2012,432.55,,,403.4877,0.1073,28.955
330000,浙江省,2011,420,,,403,,16.96
330000,浙江省,2010,325.6024,,,319.1196,,6.4828
330000,浙江省,2009,317.8848,,,312.63,0.1007,5.1541
330000,浙江省,2008,258.4649,,,253.2389,0.1262,5.0998
330000,浙江省,2007,338.9741,,,333.2445,1.011,4.7186
330000,浙江省,2006,271.5588,,,258.9807,0.37,12.2081
330000,浙江省,2005,291.1099,,,261.3154,0.442,29.3525
330000,浙江省,2004,199.3048,,,171.9265,0.154,27.2243
330000,浙江省,2003,108.658,0.211,,104.8489,0.1064,3.49
330000,浙江省,2002,83.31,,,79.29,1.9,2.12
330000,浙江省,2001,90.51,,,89.15,0.34,1.02
330000,浙江省,2000,91.08,,,89.68,0.24,1.16
340000,安徽省,2019,,,,,,
340000,安徽省,2018,,,,,,
340000,安徽省,2017,350,16.96,0.32,322,5.15,5.97
340000,安徽省,2016,311.9872,9.7657,,279.0193,14.1148,9.0874
340000,安徽省,2015,424,76.98,0.47,333,2.88,10.08
340000,安徽省,2014,339.5935,71.7021,0.684,253.3281,2.5368,11.3425
340000,安徽省,2013,382.1726,89.049,,268.429,14.2795,10.4151
340000,安徽省,2012,422.2417,163.3288,,218.5144,33.6387,6.7598
340000,安徽省,2011,289,104.34,,128,46.55,9.9
340000,安徽省,2010,321.2901,164.9136,1.5028,140.7772,2.2799,11.8166
340000,安徽省,2009,325.6603,167.1811,,134.5438,11.7805,12.1549
340000,安徽省,2008,387.7018,160.0566,0.25,209.2617,11.2359,6.8976
340000,安徽省,2007,379.8526,166.5373,,194.2484,15.5193,3.5476
340000,安徽省,2006,238.3857,131.1746,,89.8822,14.3248,3.0041
340000,安徽省,2005,170.1848,91.4209,,65.7024,9.7868,3.2747
340000,安徽省,2004,107.1057,56.1885,,40.6213,6.8821,3.4138
340000,安徽省,2003,63.6439,35.4429,0.01,25.3515,0.4024,2.44
340000,安徽省,2002,72.98,21.51,,49.66,0.69,1.12
340000,安徽省,2001,53.74,21.54,,26.91,3.94,1.36
340000,安徽省,2000,54.25,13.16,,39.05,1.42,0.61
350000,福建省,2019,,,,,,
350000,福建省,2018,,,,,,
350000,福建省,2017,448,1.03,,364,72.91,10.45
350000,福建省,2016,438.1572,0.475,,418.2485,2.535,16.8987
350000,福建省,2015,401,1.55,,378,1.1,20.03
350000,福建省,2014,435.235,2.2679,3.6372,378.5888,1.2306,49.5105
350000,福建省,2013,467.8438,3.4959,,322.4047,123.2573,18.6859
350000,福建省,2012,362.1598,2.4446,,257.0067,98.6368,4.0717
350000,福建省,2011,280,2.38,,227,42.05,9.04
350000,福建省,2010,267.5992,3.323,,173.9615,74.548,15.7667
350000,福建省,2009,234.8511,3.1138,,154.0716,63.885,13.7807
350000,福建省,2008,311.2082,2.6517,,154.2728,143.2005,11.0832
350000,福建省,2007,271.8431,0.8111,,122.9906,121.0962,26.9452
350000,福建省,2006,168.5593,1.6042,,118.0404,26.3486,22.5661
350000,福建省,2005,114.9268,1.7324,,94.7605,11.0729,7.361
350000,福建省,2004,72.5992,1.5399,,64.2589,5.1145,1.6859
350000,福建省,2003,37.3359,0.5444,,34.3101,1.2042,1.28
350000,福建省,2002,51.07,1.48,,48.62,,0.97
350000,福建省,2001,61.41,0.91,,59.22,,1.27
350000,福建省,2000,70.64,1.27,,67.33,,2.03
360000,江西省,2019,,,,,,
360000,江西省,2018,,,,,,
360000,江西省,2017,185,3.22,,171,7.76,3.19
360000,江西省,2016,204.6387,0.2588,,187.8082,6.6978,9.8739
360000,江西省,2015,195,0.12,,179,4.18,11.59
360000,江西省,2014,167.6152,0.2146,,155.7712,5.5997,6.0297
360000,江西省,2013,149.2304,0.4057,,114.6519,7.3283,26.8445
360000,江西省,2012,134.3889,0.1782,,119.6073,,14.6034
360000,江西省,2011,129,2.07,,119,,7.95
360000,江西省,2010,149.705,1.0,,135.9158,0.7127,12.0765
360000,江西省,2009,135.9482,8.2116,,115.6186,6.0386,6.0794
360000,江西省,2008,83.2952,4.4257,0.22,68.1963,8.6028,1.8504
360000,江西省,2007,92.7485,6.467,,78.6341,5.7422,1.9052
360000,江西省,2006,96.658,4.1833,,86.3076,4.273,1.8941
360000,江西省,2005,81.036,4.4004,,66.3607,9.1326,1.1423
360000,江西省,2004,57.2866,2.4143,,49.0713,4.4244,1.3766
360000,江西省,2003,37.5464,4.6188,,29.585,2.7829,0.56
360000,江西省,2002,35.68,2.83,,30.23,2.38,0.24
360000,江西省,2001,44.88,2.57,,40.6,1.34,0.37
360000,江西省,2000,50.71,0.89,,47.42,1.76,0.64
370000,山东省,2019,,,,,,
370000,山东省,2018,,,,,,
370000,山东省,2017,730,10.21,11.42,656,19.34,33.75
370000,山东省,2016,654.4178,11.4023,14.8953,595.2151,19.5528,13.3523
370000,山东省,2015,675,17.96,1.84,628,10.15,16.7
370000,山东省,2014,889.8025,19.2443,279.0853,541.4034,31.9338,18.1357
370000,山东省,2013,458.2855,22.0801,3.879,422.3986,4.5097,5.4181
370000,山东省,2012,323.3209,26.4281,2.0528,273.9741,9.9326,10.9333
370000,山东省,2011,531,26.97,279.13,198,17.05,9.9
370000,山东省,2010,406.8821,21.5183,172.2654,181.157,20.4062,11.5352
370000,山东省,2009,277.2686,37.1308,8.0415,167.8896,57.4022,6.8045
370000,山东省,2008,263.4346,31.2104,3.5491,165.7552,48.4738,14.4461
370000,山东省,2007,216.4551,36.4289,3.4675,126.9552,45.5491,4.0544
370000,山东省,2006,232.0897,41.6113,0.816,171.0188,14.1412,4.5024
370000,山东省,2005,216.2628,55.6088,,139.5756,16.68,4.3984
370000,山东省,2004,247.6487,59.621,0.45,159.3016,24.7417,3.5344
370000,山东省,2003,196.9947,51.4484,0.15,128.2543,12.6395,4.5
370000,山东省,2002,174.07,46.42,,113.01,11.17,3.47
370000,山东省,2001,291.03,51.7,125.18,101.84,8.61,3.69
370000,山东省,2000,330.44,39.5,132.95,148.94,5.68,3.38
410000,河南省,2019,,,,,,
410000,河南省,2018,,,,,,
410000,河南省,2017,329,15.19,11.36,282,0.19,20.17
410000,河南省,2016,262.6912,15.555,10.2823,216.8841,0.634,19.3358
410000,河南省,2015,268,17.6,31.45,198,1.28,19.49
410000,河南省,2014,219.5605,26.707,33.0073,142.1468,2.865,14.8344
410000,河南省,2013,280.1573,38.2474,50.2836,168.4716,1.6133,21.5414
410000,河南省,2012,285.4316,59.0665,59.1526,146.5332,1.5442,19.1351
410000,河南省,2011,275,49.95,55.49,150,0.83,19.33
410000,河南省,2010,297.5298,44.8663,71.2609,157.1456,1.8388,22.4182
410000,河南省,2009,422.4355,47.3151,73.3149,267.5386,4.4507,29.8162
410000,河南省,2008,404.7655,50.3965,71.4316,272.5143,8.2321,2.191
410000,河南省,2007,267.4018,33.85,67.4424,147.0382,14.4847,4.5865
410000,河南省,2006,214.9112,22.9673,55.3267,116.4589,7.5392,12.6191
410000,河南省,2005,210.0288,23.8009,55.3712,123.0551,0.1856,7.616
410000,河南省,2004,183.6591,17.44,73.7341,81.9182,0.468,10.0988
410000,河南省,2003,157.6392,18.4817,61.242,71.3937,0.022,6.5
410000,河南省,2002,148.98,17.93,55.3,72.15,0.36,3.24
410000,河南省,2001,167.61,13.38,56.96,90.06,3.26,3.95
410000,河南省,2000,180.77,18.47,43.95,113.29,1.42,3.64
420000,湖北省,2019,,,,,,
420000,湖北省,2018,,,,,,
420000,湖北省,2017,278,0.56,,260,2.47,15.09
420000,湖北省,2016,262.2315,,0.42,244.5709,2.305,14.9356
420000,湖北省,2015,327,,,292,12.83,22.31
420000,湖北省,2014,283.6639,,,242.0825,17.5923,23.9891
420000,湖北省,2013,301.3284,0.8159,1.6169,228.9901,55.9047,14.0008
420000,湖北省,2012,286.6447,,0.165,178.3339,95.9421,12.2037
420000,湖北省,2011,298,0.45,2.02,168,117.23,10.37
420000,湖北省,2010,333.5551,0.6504,1.641,251.8803,68.016,11.3674
420000,湖北省,2009,333.6886,0.9498,28.0818,279.2218,9.5032,15.932
420000,湖北省,2008,280.1189,0.6435,27.4609,236.7039,7.4521,7.8585
420000,湖北省,2007,243.601,,28.1168,198.1729,11.7779,5.5334
420000,湖北省,2006,234.0745,,16.9358,207.8526,7.8575,1.4286
420000,湖北省,2005,187.8851,,12.193,169.3606,3.2355,3.096
420000,湖北省,2004,187.3329,0.3653,10.7584,166.1102,7.4838,2.6152
420000,湖北省,2003,191.7675,0.3684,10.362,173.9337,2.9832,4.12
420000,湖北省,2002,241.71,0.7,12.79,225.65,1.8,0.77
420000,湖北省,2001,227.98,0.17,16.05,208.59,2.79,0.38
420000,湖北省,2000,221.63,0.43,13.2,204.23,3.33,0.44
430000,湖南省,2019,,,,,,
430000,湖南省,2018,,,,,,
430000,湖南省,2017,259,5.92,0.4,230,2.3,20.4
430000,湖南省,2016,245.0276,11.828,,215.3352,,17.8644
430000,湖南省,2015,276,12.79,,243,,19.81
430000,湖南省,2014,264.9718,11.8039,,236.6028,,16.5651
430000,湖南省,2013,227.3754,13.8988,0.3,198.5089,1.9022,12.7655
430000,湖南省,2012,215.0722,16.5472,,187.0195,0.4427,11.0628
430000,湖南省,2011,226,10.2,0.77,205,1.26,9.23
430000,湖南省,2010,195.131,8.8361,0.1,179.6808,0.904,5.6101
430000,湖南省,2009,188.4662,6.7081,0.035,176.6624,0.31,4.7507
430000,湖南省,2008,219.6862,4.7644,,209.1282,0.4387,5.3549
430000,湖南省,2007,175.8378,5.2104,,168.2216,,2.4058
430000,湖南省,2006,131.2049,2.589,,126.7752,0.7098,1.1309
430000,湖南省,2005,116.7823,4.1565,,101.4071,10.1502,1.0685
430000,湖南省,2004,96.3061,3.0747,,78.9702,12.2879,1.9733
430000,湖南省,2003,81.7844,1.6901,,74.4232,4.583,1.09
430000,湖南省,2002,100.82,2.0,,88.44,8.37,2.01
430000,湖南省,2001,85.76,1.82,,72.63,10.71,0.61
430000,湖南省,2000,88.95,1.04,,75.46,11.62,0.83
440000,广东省,2019,,,,,,
440000,广东省,2018,,,,,,
440000,广东省,2017,687,,,593,78.12,15.3
440000,广东省,2016,686.2256,0.1636,,479.9522,180.2805,25.8293
440000,广东省,2015,812,,10.84,602,167.5,31.58
440000,广东省,2014,873.5259,0.6,110.6093,649.2324,92.9396,20.1446
440000,广东省,2013,794.5859,,80.4649,628.3437,64.053,21.7243
440000,广东省,2012,690.6914,,0.8439,625.6217,48.3847,15.8411
440000,广东省,2011,544,,1.9,487,46.2,9.56
440000,广东省,2010,691.0616,,0.0811,645.3046,28.5337,17.1422
440000,广东省,2009,558.3003,,0.2783,515.4049,33.0468,9.5703
440000,广东省,2008,348.911,,0.4384,234.4783,107.0367,6.9576
440000,广东省,2007,341.7624,,0.5994,243.8266,92.6327,4.7037
440000,广东省,2006,400.5937,,0.5611,328.8851,65.6507,5.4968
440000,广东省,2005,375.78,,0.4738,329.7883,36.5236,8.9943
440000,广东省,2004,242.9128,,0.753,237.7757,2.6361,1.748
440000,广东省,2003,192.0065,0.0443,6.9532,180.4148,3.3518,1.24
440000,广东省,2002,159.48,,6.64,146.38,4.97,1.49
440000,广东省,2001,119.04,0.05,0.48,100.36,16.35,1.79
440000,广东省,2000,90.46,0.17,0.72,81.64,6.48,1.45
450000,广西壮族自治区,2019,,,,,,
450000,广西壮族自治区,2018,,,,,,
450000,广西壮族自治区,2017,187,1.98,0.12,178,0.29,6.73
450000,广西壮族自治区,2016,241.2287,1.1716,0.9617,210.6579,0.8416,27.5959
450000,广西壮族自治区,2015,296,1.33,2.22,240,2.79,49.73
450000,广西壮族自治区,2014,265.8941,1.7686,0.6512,244.8098,3.957,14.7075
450000,广西壮族自治区,2013,234.2319,2.0217,1.9,214.5073,1.6341,14.1688
450000,广西壮族自治区,2012,256.5646,3.9398,,221.6349,15.6334,15.3565
450000,广西壮族自治区,2011,284,10.29,4.24,219,44.36,6.06
450000,广西壮族自治区,2010,255.815,6.5694,1.0175,210.0585,36.8311,1.3385
450000,广西壮族自治区,2009,210.4803,5.7878,1.5194,198.6293,2.5394,2.0044
450000,广西壮族自治区,2008,94.6703,2.3565,0.7798,88.7135,1.8545,0.966
450000,广西壮族自治区,2007,104.7446,1.5616,1.1714,98.4309,2.1387,1.442
450000,广西壮族自治区,2006,103.4739,1.8279,0.14,99.5742,1.2112,0.7206
450000,广西壮族自治区,2005,67.3579,1.5845,,65.2842,0.2213,0.2679
450000,广西壮族自治区,2004,68.9023,1.9559,,66.6129,0.1515,0.182
450000,广西壮族自治区,2003,59.0846,0.6854,,57.671,0.1072,0.62
450000,广西壮族自治区,2002,60.67,0.63,,58.53,0.2,1.31
450000,广西壮族自治区,2001,46.79,0.46,,44.55,0.05,1.74
450000,广西壮族自治区,2000,71.02,0.52,,68.96,0.1,1.44
460000,海南省,2019,,,,,,
460000,海南省,2018,,,,,,
460000,海南省,2017,77,,5.77,70,,0.82
460000,海南省,2016,33.3002,,4.826,28.4725,,0.0017
460000,海南省,2015,65,,,50,12.05,3.22
460000,海南省,2014,59.1943,2.2884,,36.2532,18.2938,2.3589
460000,海南省,2013,27.0269,,,22.2367,4.1345,0.6557
460000,海南省,2012,32.1276,,,31.4937,,0.6339
