省份编码,省份,年份,蒸汽供热能力(吨/小时),热水供热能力(兆瓦)
320000,江苏省,2014,,
320000,江苏省,2013,,
320000,江苏省,2012,,
320000,江苏省,2011,,
320000,江苏省,2010,6280,6055.0
320000,江苏省,2009,4330,55.0
320000,江苏省,2008,6823,45033.0
320000,江苏省,2007,5934,33.0
320000,江苏省,2006,9597,33.0
320000,江苏省,2005,19744,200.0
320000,江苏省,2004,17157,228.0
320000,江苏省,2003,13372,68.0
320000,江苏省,2002,10247,93.0
320000,江苏省,2001,4711,49.0
320000,江苏省,2000,2554,8.0
330000,浙江省,2019,,
330000,浙江省,2018,,
330000,浙江省,2017,,
330000,浙江省,2016,,
330000,浙江省,2015,3145,30.0
330000,浙江省,2014,8914,20.0
330000,浙江省,2013,8039,85.0
330000,浙江省,2012,5442,75.0
330000,浙江省,2011,4923,75.0
330000,浙江省,2010,5438,75.0
330000,浙江省,2009,4795,75.0
330000,浙江省,2008,4801,233.0
330000,浙江省,2007,5236,233.0
330000,浙江省,2006,5056,233.0
330000,浙江省,2005,4569,233.0
330000,浙江省,2004,3583,233.0
330000,浙江省,2003,3333,388.0
330000,浙江省,2002,2897,225.0
330000,浙江省,2001,2327,192.0
330000,浙江省,2000,1516,
340000,安徽省,2019,2513.5,280.0
340000,安徽省,2018,2422,370.0
340000,安徽省,2017,2681,90.0
340000,安徽省,2016,4392.98,142.0
340000,安徽省,2015,4592.78,142.0
340000,安徽省,2014,4492.78,20182.0
340000,安徽省,2013,4305.41,182.0
340000,安徽省,2012,3846.41,182.0
340000,安徽省,2011,3753,182.0
340000,安徽省,2010,3530,182.0
340000,安徽省,2009,3487,176.0
340000,安徽省,2008,3346,165.0
340000,安徽省,2007,3154,165.0
340000,安徽省,2006,2613,165.0
340000,安徽省,2005,2006,135.0
340000,安徽省,2004,2276,135.0
340000,安徽省,2003,1798,2325.0
340000,安徽省,2002,2055,200.0
340000,安徽省,2001,1965,214.0
340000,安徽省,2000,1915,214.0
350000,福建省,2019,,
350000,福建省,2018,,
350000,福建省,2017,,
350000,福建省,2016,,
350000,福建省,2015,,
350000,福建省,2014,,
350000,福建省,2013,,
350000,福建省,2012,,
350000,福建省,2011,,
350000,福建省,2010,,
350000,福建省,2009,,
350000,福建省,2008,,
350000,福建省,2007,,286.0
350000,福建省,2006,,286.0
350000,福建省,2005,,286.0
350000,福建省,2004,160,286.0
350000,福建省,2003,,13.0
350000,福建省,2002,,11.0
350000,福建省,2001,,
350000,福建省,2000,,43.0
360000,江西省,2019,,
360000,江西省,2018,,
360000,江西省,2017,,
360000,江西省,2016,,
360000,江西省,2015,,
360000,江西省,2014,,
360000,江西省,2013,,
360000,江西省,2012,,
360000,江西省,2011,,
360000,江西省,2010,,
360000,江西省,2009,,
360000,江西省,2008,,
360000,江西省,2007,,
360000,江西省,2006,,
360000,江西省,2005,,
360000,江西省,2004,,
360000,江西省,2003,,
360000,江西省,2002,,
360000,江西省,2001,,
360000,江西省,2000,,
370000,山东省,2019,29366.6,63380.62
370000,山东省,2018,26499.9,58438.1
370000,山东省,2017,30332,54372.0
370000,山东省,2016,24690.27,53699.97
370000,山东省,2015,24372.77,47487.45
370000,山东省,2014,23396.1,43427.32
370000,山东省,2013,25211.1,39721.99
370000,山东省,2012,24677.5,33449.94
370000,山东省,2011,25634,28922.0
370000,山东省,2010,31086,27587.0
370000,山东省,2009,27609,22661.0
370000,山东省,2008,28106,21088.0
370000,山东省,2007,26394,19637.0
370000,山东省,2006,24896,17881.0
370000,山东省,2005,22770,16744.0
370000,山东省,2004,20054,13901.0
370000,山东省,2003,18754,22663.0
370000,山东省,2002,15854,18613.0
370000,山东省,2001,12836,11696.0
370000,山东省,2000,12498,9206.0
410000,河南省,2019,6003,24239.9
410000,河南省,2018,6903,21297.9
410000,河南省,2017,6110,20522.0
410000,河南省,2016,6477,16446.42
410000,河南省,2015,6093,11643.5
410000,河南省,2014,6088,9544.38
410000,河南省,2013,6008,8567.9
410000,河南省,2012,5856,6204.0
410000,河南省,2011,5530,6763.0
410000,河南省,2010,5590,4767.0
410000,河南省,2009,5632,3905.0
410000,河南省,2008,4982,3664.0
410000,河南省,2007,4926,3224.0
410000,河南省,2006,4713,3078.0
410000,河南省,2005,4698,2118.0
410000,河南省,2004,4602,1617.0
410000,河南省,2003,3899,1494.0
410000,河南省,2002,3634,1444.0
410000,河南省,2001,2957,1292.0
410000,河南省,2000,3261,1334.0
420000,湖北省,2019,1204.3,100.0
420000,湖北省,2018,1204.3,100.0
420000,湖北省,2017,1596,220.0
420000,湖北省,2016,2286,
420000,湖北省,2015,2680,478.0
420000,湖北省,2014,2080,278.0
420000,湖北省,2013,1874,278.0
420000,湖北省,2012,1816,278.0
420000,湖北省,2011,1816,278.0
420000,湖北省,2010,1564,278.0
420000,湖北省,2009,1404,78.0
420000,湖北省,2008,1404,78.0
420000,湖北省,2007,1404,78.0
420000,湖北省,2006,1404,78.0
420000,湖北省,2005,1404,78.0
420000,湖北省,2004,1404,78.0
420000,湖北省,2003,1404,78.0
420000,湖北省,2002,1364,78.0
420000,湖北省,2001,1030,
420000,湖北省,2000,775,12.0
430000,湖南省,2019,,
430000,湖南省,2018,,
430000,湖南省,2017,,
430000,湖南省,2016,,
430000,湖南省,2015,,
430000,湖南省,2014,,
430000,湖南省,2013,,
430000,湖南省,2012,,
430000,湖南省,2011,,
430000,湖南省,2010,,
430000,湖南省,2009,,
430000,湖南省,2008,,
430000,湖南省,2007,,
430000,湖南省,2006,,
430000,湖南省,2005,105,
430000,湖南省,2004,105,
430000,湖南省,2003,105,5.0
430000,湖南省,2002,105,
430000,湖南省,2001,,
430000,湖南省,2000,493,49.0
440000,广东省,2019,,
440000,广东省,2018,,
440000,广东省,2017,,
440000,广东省,2016,,
440000,广东省,2015,,
440000,广东省,2014,,
440000,广东省,2013,,
440000,广东省,2012,,
440000,广东省,2011,,
440000,广东省,2010,,
440000,广东省,2009,,
440000,广东省,2008,,
440000,广东省,2007,,
440000,广东省,2006,,
440000,广东省,2005,,
440000,广东省,2004,,
440000,广东省,2003,,
440000,广东省,2002,,
440000,广东省,2001,,
440000,广东省,2000,,
450000,广西壮族自治区,2019,,
450000,广西壮族自治区,2018,,
450000,广西壮族自治区,2017,,
450000,广西壮族自治区,2016,,
450000,广西壮族自治区,2015,,
450000,广西壮族自治区,2014,,
450000,广西壮族自治区,2013,,
450000,广西壮族自治区,2012,,
450000,广西壮族自治区,2011,,
450000,广西壮族自治区,2010,,
450000,广西壮族自治区,2009,,
450000,广西壮族自治区,2008,,
450000,广西壮族自治区,2007,,
450000,广西壮族自治区,2006,,
450000,广西壮族自治区,2005,,
450000,广西壮族自治区,2004,,
450000,广西壮族自治区,2003,,
450000,广西壮族自治区,2002,,
450000,广西壮族自治区,2001,,
450000,广西壮族自治区,2000,,
460000,海南省,2019,,
460000,海南省,2018,,
460000,海南省,2017,,
460000,海南省,2016,,
460000,海南省,2015,,
460000,海南省,2014,,
460000,海南省,2013,,
460000,海南省,2012,,
460000,海南省,2011,,
460000,海南省,2010,,
460000,海南省,2009,,
460000,海南省,2008,,
460000,海南省,2007,,
460000,海南省,2006,,
460000,海南省,2005,,
460000,海南省,2004,,
460000,海南省,2003,,
460000,海南省,2002,,
460000,海南省,2001,,
460000,海南省,2000,,
500000,重庆市,2019,,
500000,重庆市,2018,,
500000,重庆市,2017,,
500000,重庆市,2016,,
500000,重庆市,2015,,
500000,重庆市,2014,,
500000,重庆市,2013,,
500000,重庆市,2012,,
500000,重庆市,2011,,
500000,重庆市,2010,,
500000,重庆市,2009,,
500000,重庆市,2008,,
500000,重庆市,2007,,
500000,重庆市,2006,,
500000,重庆市,2005,,
500000,重庆市,2004,,
500000,重庆市,2003,,
500000,重庆市,2002,,
500000,重庆市,2001,,
500000,重庆市,2000,,
510000,四川省,2019,,
510000,四川省,2018,,
510000,四川省,2017,,
510000,四川省,2016,,
510000,四川省,2015,,
510000,四川省,2014,,
510000,四川省,2013,,
510000,四川省,2012,,
510000,四川省,2011,,
510000,四川省,2010,60,
510000,四川省,2009,60,
510000,四川省,2008,60,
510000,四川省,2007,60,
510000,四川省,2006,60,
510000,四川省,2005,160,
510000,四川省,2004,160,
510000,四川省,2003,160,134.0
510000,四川省,2002,140,
510000,四川省,2001,140,
510000,四川省,2000,,
520000,贵州省,2019,,295.2
520000,贵州省,2018,,215.91
520000,贵州省,2017,,169.0
520000,贵州省,2016,,34.6
520000,贵州省,2015,,
520000,贵州省,2014,,240.2
520000,贵州省,2013,,239.0
520000,贵州省,2012,,
520000,贵州省,2011,,
520000,贵州省,2010,,
520000,贵州省,2009,,
520000,贵州省,2008,,
520000,贵州省,2007,,
520000,贵州省,2006,,
520000,贵州省,2005,,
520000,贵州省,2004,,
520000,贵州省,2003,,
520000,贵州省,2002,,
520000,贵州省,2001,,
520000,贵州省,2000,,
530000,云南省,2019,,232.0
530000,云南省,2018,,224.5
530000,云南省,2017,,148.0
530000,云南省,2016,,
530000,云南省,2015,,
530000,云南省,2014,,
530000,云南省,2013,,
530000,云南省,2012,,
530000,云南省,2011,,
530000,云南省,2010,,
530000,云南省,2009,,
530000,云南省,2008,,
530000,云南省,2007,,
530000,云南省,2006,,
530000,云南省,2005,,
530000,云南省,2004,,
530000,云南省,2003,,
530000,云南省,2002,,
530000,云南省,2001,,
530000,云南省,2000,,
540000,西藏自治区,2019,,64.0
540000,西藏自治区,2018,,64.0
540000,西藏自治区,2017,,402.0
540000,西藏自治区,2016,14,
540000,西藏自治区,2015,14,
540000,西藏自治区,2014,13,
540000,西藏自治区,2013,,
540000,西藏自治区,2012,,
540000,西藏自治区,2011,,
540000,西藏自治区,2010,,
540000,西藏自治区,2009,,
540000,西藏自治区,2008,,
540000,西藏自治区,2007,,
540000,西藏自治区,2006,,
540000,西藏自治区,2005,,
540000,西藏自治区,2004,,
540000,西藏自治区,2003,,
540000,西藏自治区,2002,,
540000,西藏自治区,2001,,
540000,西藏自治区,2000,,
610000,陕西省,2019,7292,22790.76
610000,陕西省,2018,9174,21039.09
610000,陕西省,2017,7359,22083.0
610000,陕西省,2016,3742,23026.87
610000,陕西省,2015,3728,22023.06
610000,陕西省,2014,3708,11427.8
610000,陕西省,2013,4118,8902.1
610000,陕西省,2012,5795,6681.94
610000,陕西省,2011,3681,5309.0
610000,陕西省,2010,3731,4215.0
610000,陕西省,2009,3305,12543.0
610000,陕西省,2008,2196,11971.0
610000,陕西省,2007,4079,2992.0
610000,陕西省,2006,2947,2672.0
610000,陕西省,2005,2240,1806.0
610000,陕西省,2004,1983,1499.0
610000,陕西省,2003,2258,1494.0
610000,陕西省,2002,1834,1214.0
610000,陕西省,2001,1671,1141.0
610000,陕西省,2000,1923,551.0
620000,甘肃省,2019,1000,18248.79
620000,甘肃省,2018,1000,16562.4
620000,甘肃省,2017,700,15648.0
620000,甘肃省,2016,26,15440.5
620000,甘肃省,2015,26,14330.5
620000,甘肃省,2014,200,14146.0
620000,甘肃省,2013,224,14068.5
620000,甘肃省,2012,384,12757.5
620000,甘肃省,2011,,11137.0
620000,甘肃省,2010,4525,10208.0
620000,甘肃省,2009,4511,9225.0
620000,甘肃省,2008,4504,8969.0
620000,甘肃省,2007,4229,7749.0
620000,甘肃省,2006,5159,7276.0
620000,甘肃省,2005,4813,5791.0
620000,甘肃省,2004,4774,5474.0
620000,甘肃省,2003,5845,4777.0
620000,甘肃省,2002,5628,4092.0
620000,甘肃省,2001,4400,3590.0
620000,甘肃省,2000,3949,3611.0
630000,青海省,2019,,4810.25
630000,青海省,2018,,4739.4
630000,青海省,2017,,4717.0
630000,青海省,2016,,348.3
630000,青海省,2015,,348.3
630000,青海省,2014,,348.3
630000,青海省,2013,,348.3
630000,青海省,2012,,257.5
630000,青海省,2011,,230.0
630000,青海省,2010,,370.0
630000,青海省,2009,,369.0
630000,青海省,2008,,193.0
630000,青海省,2007,,121.0
630000,青海省,2006,,173.0
630000,青海省,2005,,173.0
630000,青海省,2004,,158.0
630000,青海省,2003,,158.0
630000,青海省,2002,,145.0
630000,青海省,2001,,86.0
630000,青海省,2000,8,89.0
640000,宁夏回族自治区,2019,2004,16791.52
640000,宁夏回族自治区,2018,2925,7363.42
640000,宁夏回族自治区,2017,2538,66351.0
640000,宁夏回族自治区,2016,1795,8286.16
640000,宁夏回族自治区,2015,1795,7848.1
640000,宁夏回族自治区,2014,1687.46,7137.82
640000,宁夏回族自治区,2013,396,8252.12
640000,宁夏回族自治区,2012,381.46,7926.92
640000,宁夏回族自治区,2011,672,6113.0
640000,宁夏回族自治区,2010,576,5945.0
640000,宁夏回族自治区,2009,425,5595.0
640000,宁夏回族自治区,2008,425,5160.0
640000,宁夏回族自治区,2007,432,5127.0
640000,宁夏回族自治区,2006,869,4482.0
640000,宁夏回族自治区,2005,646,5115.0
640000,宁夏回族自治区,2004,646,4822.0
640000,宁夏回族自治区,2003,646,4111.0
640000,宁夏回族自治区,2002,662,3449.0
640000,宁夏回族自治区,2001,662,3332.0
640000,宁夏回族自治区,2000,662,2963.0
650000,新疆维吾尔自治区,2019,3105,38903.5
650000,新疆维吾尔自治区,2018,3233,37550.85
650000,新疆维吾尔自治区,2017,3860,34678.0
650000,新疆维吾尔自治区,2016,2372.12,36757.91
650000,新疆维吾尔自治区,2015,2210,32608.02
650000,新疆维吾尔自治区,2014,2060,27603.59
650000,新疆维吾尔自治区,2013,1940,26997.31
650000,新疆维吾尔自治区,2012,1959,23675.41
650000,新疆维吾尔自治区,2011,1460,20465.0
650000,新疆维吾尔自治区,2010,1376,18897.0
650000,新疆维吾尔自治区,2009,1354,18307.0
650000,新疆维吾尔自治区,2008,1208,14552.0
650000,新疆维吾尔自治区,2007,1700,14472.0
650000,新疆维吾尔自治区,2006,1119,13362.0
650000,新疆维吾尔自治区,2005,1441,12309.0
650000,新疆维吾尔自治区,2004,1487,11077.0
650000,新疆维吾尔自治区,2003,1396,8951.0
650000,新疆维吾尔自治区,2002,2559,8943.0
650000,新疆维吾尔自治区,2001,2429,8072.0
650000,新疆维吾尔自治区,2000,1638,6145.0
