省份编码,省份,年份,勘察设计机构单位数(个),勘察设计机构年底职工人数(人),勘察设计机构高级职称职工人数(人),勘察设计机构中级职称职工人数(人),勘察设计机构初级职称职工人数(人),勘察设计机构其他人员数(人)
150000,内蒙古自治区,2008,248,16420,4524,5117,3647,3132
150000,内蒙古自治区,2007,237,15658,4331,5087,3567,2673
150000,内蒙古自治区,2006,229,15694,4192,5277,3486,2739
150000,内蒙古自治区,2005,223,14619,3911,5112,3445,2151
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,746,65791,13040,18142,10456,
210000,辽宁省,2018,824,64711,13009,18895,10833,
210000,辽宁省,2017,915,66359,13238,19029,10059,
210000,辽宁省,2016,887,58220,12641,17887,8638,
210000,辽宁省,2015,883,62966,12880,18177,9443,
210000,辽宁省,2014,885,63552,12914,17861,10201,
210000,辽宁省,2013,849,66164,13208,17988,10393,
210000,辽宁省,2012,847,68784,13269,17673,11644,
210000,辽宁省,2011,806,64173,13217,17054,11191,22711
210000,辽宁省,2010,822,69269,13065,16627,10009,29568
210000,辽宁省,2009,845,62175,13385,16682,9885,22223
210000,辽宁省,2008,844,58591,12901,16093,9680,19917
210000,辽宁省,2007,855,56162,12914,15693,9753,17802
210000,辽宁省,2006,854,49341,12868,15588,8661,12224
210000,辽宁省,2005,831,50112,12441,15651,8713,13307
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,543,27900,8441,8889,4042,
220000,吉林省,2018,558,28064,8644,8669,4414,
220000,吉林省,2017,533,27853,8600,8638,4901,
220000,吉林省,2016,451,24960,8213,7762,4615,
220000,吉林省,2015,482,27120,8951,8892,4974,
220000,吉林省,2014,511,26818,8981,9030,5120,
220000,吉林省,2013,444,26627,8025,8029,5219,
220000,吉林省,2012,467,28367,8490,8368,4989,
220000,吉林省,2011,461,27537,8248,7911,4869,6509
220000,吉林省,2010,426,24777,7951,7489,4488,4849
220000,吉林省,2009,448,26127,7718,7581,4763,6065
220000,吉林省,2008,430,23627,7168,7250,4439,4770
220000,吉林省,2007,357,21254,6247,6824,4086,4097
220000,吉林省,2006,369,22536,6629,7484,4328,4095
220000,吉林省,2005,372,20032,5709,6635,4117,3571
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,436,26313,7818,8732,3384,
230000,黑龙江省,2018,392,23419,8056,7633,2964,
230000,黑龙江省,2017,456,24149,8434,8325,2923,
230000,黑龙江省,2016,463,25491,8795,8627,3120,
230000,黑龙江省,2015,433,24231,8099,8026,3417,
230000,黑龙江省,2014,121,7029,2234,2335,1377,
230000,黑龙江省,2013,296,21572,5856,5628,3063,
230000,黑龙江省,2012,341,25931,7275,6898,3798,
230000,黑龙江省,2011,313,25013,7180,6779,3910,7144
230000,黑龙江省,2010,284,22466,6154,5674,2965,7673
230000,黑龙江省,2009,286,17821,6169,5599,2768,3285
230000,黑龙江省,2008,196,14957,4806,4540,2430,3181
230000,黑龙江省,2007,285,18317,6001,5766,2794,3756
230000,黑龙江省,2006,322,20685,6584,6552,3190,4359
230000,黑龙江省,2005,319,18951,5387,6103,2914,4547
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,1239,259682,23450,44484,40142,
310000,上海市,2018,1120,277212,26817,55056,64305,
310000,上海市,2017,1212,262278,22568,48842,62366,
310000,上海市,2016,1167,275604,23146,48857,66241,
310000,上海市,2015,558,102235,10328,19725,22648,
310000,上海市,2014,635,117054,12336,23165,27398,
310000,上海市,2013,733,126809,12637,23257,26085,
310000,上海市,2012,768,148618,13297,25764,27660,
310000,上海市,2011,660,119905,12347,21946,21494,64118
310000,上海市,2010,549,73144,9159,15518,16945,31522
310000,上海市,2009,673,93623,11624,19378,21608,41013
310000,上海市,2008,641,95314,11611,18682,20981,44040
310000,上海市,2007,623,82571,11400,17478,18002,35691
310000,上海市,2006,593,75976,10730,14732,14658,35856
310000,上海市,2005,495,62816,9843,13255,13265,26453
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,1929,455035,25374,51862,48495,
320000,江苏省,2018,1821,574401,22928,47902,44198,
320000,江苏省,2017,1887,378787,22024,47036,46062,
320000,江苏省,2016,1609,190614,19258,39919,36052,
320000,江苏省,2015,1822,217265,18524,40777,44345,
320000,江苏省,2014,1641,180675,16692,37365,42861,
320000,江苏省,2013,1606,154000,15416,33392,37186,
320000,江苏省,2012,1538,130518,14772,30015,31330,
320000,江苏省,2011,1346,104901,14079,26719,25252,38851
320000,江苏省,2010,1101,83274,12696,21860,19319,29399
320000,江苏省,2009,1031,71514,12525,20561,17743,20685
320000,江苏省,2008,967,65135,12305,18927,15935,17968
320000,江苏省,2007,958,61926,12269,17874,15643,16140
320000,江苏省,2006,981,62248,12723,18051,15237,16237
320000,江苏省,2005,975,72316,12598,18471,15479,25768
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,1110,678963,23024,43960,45025,
330000,浙江省,2018,1128,463948,19130,36118,28376,
330000,浙江省,2017,1224,621574,18449,36148,31956,
330000,浙江省,2016,1311,511636,17293,35495,34638,
330000,浙江省,2015,1260,683409,16985,36039,35965,
330000,浙江省,2014,1084,371679,15036,31155,29845,
330000,浙江省,2013,1115,260232,15012,29871,27828,
330000,浙江省,2012,965,159346,12981,26057,23824,
330000,浙江省,2011,900,121809,11272,23400,19742,67395
330000,浙江省,2010,647,64988,9683,16814,11482,27009
330000,浙江省,2009,620,53894,9307,16135,11156,17296
330000,浙江省,2008,683,55892,9878,17068,11939,17007
330000,浙江省,2007,507,38014,7412,12690,9023,8889
330000,浙江省,2006,606,46103,8457,14220,10911,12515
330000,浙江省,2005,595,39606,7949,13026,9784,8847
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,938,219266,13638,27209,27200,
340000,安徽省,2018,1094,145546,11177,20986,19303,
340000,安徽省,2017,1150,130807,10831,20494,18285,
340000,安徽省,2016,1084,105680,10243,18439,15858,
340000,安徽省,2015,735,60111,8345,13387,11104,
340000,安徽省,2014,810,57173,8171,13513,10957,
340000,安徽省,2013,835,53138,7931,12861,10046,
340000,安徽省,2012,778,57909,7925,12637,9846,
340000,安徽省,2011,533,36874,6851,9763,7250,13010
340000,安徽省,2010,449,28164,6370,8666,6383,6745
340000,安徽省,2009,434,29224,6629,8503,5821,8271
340000,安徽省,2008,437,26156,6519,8431,5944,5262
340000,安徽省,2007,434,26253,6637,8261,5724,5631
340000,安徽省,2006,434,25668,6711,8279,5663,5015
340000,安徽省,2005,440,23650,6514,8151,5303,3682
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,830,263389,9249,24183,21241,
350000,福建省,2018,860,278760,8382,21465,18894,
350000,福建省,2017,831,256180,8885,20719,17935,
350000,福建省,2016,939,93556,8311,21062,18830,
350000,福建省,2015,602,69801,6452,12827,10583,
350000,福建省,2014,610,46213,6107,12958,12155,
350000,福建省,2013,822,60564,6738,16251,17139,
350000,福建省,2012,852,56260,6238,15027,15923,
350000,福建省,2011,690,69109,5726,13551,13782,36050
350000,福建省,2010,520,38948,4830,10441,8691,14986
350000,福建省,2009,578,34735,4539,9974,8149,12073
350000,福建省,2008,619,44335,5171,11460,10796,16908
350000,福建省,2007,595,43319,4861,10801,9485,18172
350000,福建省,2006,690,39644,4715,10648,9229,15052
350000,福建省,2005,686,34316,4887,10805,9216,9408
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,445,167396,5829,11024,8485,
360000,江西省,2018,349,168068,5410,8985,7600,
360000,江西省,2017,461,181579,6449,11055,8004,
360000,江西省,2016,429,88424,6208,10521,8102,
360000,江西省,2015,441,74754,5886,9679,7313,
360000,江西省,2014,410,34005,5375,8724,6691,
360000,江西省,2013,404,32444,5234,8965,7020,
360000,江西省,2012,397,29345,5074,8408,6344,
360000,江西省,2011,380,26919,4921,7948,5736,8314
360000,江西省,2010,376,24452,4756,7503,5250,6943
360000,江西省,2009,381,22184,4621,7282,5498,4783
360000,江西省,2008,379,21232,4504,7087,5573,4068
360000,江西省,2007,379,21740,4476,6989,5348,4927
360000,江西省,2006,376,21798,4385,7059,5015,5339
360000,江西省,2005,375,21024,4369,7018,4889,4748
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,1704,236463,23832,45713,39692,
370000,山东省,2018,1533,188793,20881,39815,30080,
370000,山东省,2017,1732,178033,20965,38963,28372,
370000,山东省,2016,1578,105294,17811,32590,23349,
370000,山东省,2015,1594,110350,17605,30429,22152,
370000,山东省,2014,1557,103819,17265,28783,19689,
370000,山东省,2013,1479,100292,16292,26653,20527,
370000,山东省,2012,1375,90933,15999,25225,18758,
370000,山东省,2011,1275,87446,15711,23817,17547,30371
370000,山东省,2010,1193,80365,14853,21404,16508,27600
370000,山东省,2009,1193,92372,14691,20857,16880,39944
370000,山东省,2008,1202,70981,15380,20180,14822,20599
370000,山东省,2007,1163,63871,15265,19761,13610,15235
370000,山东省,2006,1124,60013,15026,18919,12711,13357
370000,山东省,2005,1113,58424,14331,18943,12018,13132
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,1098,113064,13881,26720,16453,
410000,河南省,2018,1087,112389,14819,27691,18618,
410000,河南省,2017,1405,87673,14299,26137,15702,
410000,河南省,2016,1196,69304,12817,22200,13934,
410000,河南省,2015,1238,74322,12551,21746,15273,
410000,河南省,2014,730,56168,11539,18707,12452,
410000,河南省,2013,719,54812,10936,17476,11061,
410000,河南省,2012,691,50795,10680,17111,9564,
410000,河南省,2011,662,47307,9893,16297,9181,11936
410000,河南省,2010,614,49454,9740,15612,8932,15170
410000,河南省,2009,604,48895,9574,15340,9162,14819
410000,河南省,2008,602,51305,10152,15464,10172,15517
410000,河南省,2007,584,52860,10146,15555,11404,15755
410000,河南省,2006,578,50627,9628,14632,9758,16609
410000,河南省,2005,606,49961,9036,14715,9164,17046
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,1194,211122,27368,42101,33516,
420000,湖北省,2018,913,165307,22971,31951,27431,
420000,湖北省,2017,916,136569,21682,30192,26022,
420000,湖北省,2016,635,86067,17081,21459,13171,
420000,湖北省,2015,681,82617,16760,20697,11809,
420000,湖北省,2014,758,90390,17153,22117,13392,
420000,湖北省,2013,763,88388,16995,22729,14052,
420000,湖北省,2012,805,92057,17428,24225,15498,
420000,湖北省,2011,738,80896,15937,21603,13747,29609
420000,湖北省,2010,675,73432,15639,20039,12513,25241
420000,湖北省,2009,628,66670,14579,18106,11406,22579
420000,湖北省,2008,602,57316,14127,17209,11060,14920
420000,湖北省,2007,595,56938,13702,17139,11016,15081
420000,湖北省,2006,577,54058,13396,16749,10599,13314
420000,湖北省,2005,571,53228,13240,16939,10437,12612
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,695,119563,13569,28762,27353,
430000,湖南省,2018,719,171438,13005,28005,30328,
430000,湖南省,2017,753,123247,12401,26068,23806,
430000,湖南省,2016,593,76428,11079,21055,12206,
430000,湖南省,2015,519,60102,10795,18949,12000,
430000,湖南省,2014,438,42660,8885,13579,7800,
430000,湖南省,2013,439,41317,8880,13106,8115,
430000,湖南省,2012,459,42770,8865,12951,7430,
430000,湖南省,2011,428,38923,8556,12345,7194,10828
430000,湖南省,2010,398,37362,8329,11555,7002,10476
430000,湖南省,2009,430,37982,8401,11824,6490,11267
430000,湖南省,2008,474,34764,8523,12157,6917,7167
430000,湖南省,2007,432,31130,7835,11206,6610,5479
430000,湖南省,2006,433,31589,8038,11431,6398,5722
430000,湖南省,2005,448,33276,7791,11441,6548,7496
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,1983,549040,29730,57114,48458,
440000,广东省,2018,1837,495870,27026,52770,46738,
440000,广东省,2017,2097,541012,26243,50978,50540,
440000,广东省,2016,1841,444679,25019,49893,55950,
440000,广东省,2015,1760,423359,22239,45591,50378,
440000,广东省,2014,1906,435280,23012,46440,53368,
440000,广东省,2013,1843,381458,20282,42025,48198,
440000,广东省,2012,1451,284946,16860,35549,39494,
440000,广东省,2011,1251,236713,14993,30571,32471,158678
440000,广东省,2010,1046,175416,13830,28028,26634,106924
440000,广东省,2009,1064,143001,13416,26958,22152,80475
440000,广东省,2008,1175,138555,14232,28528,24396,71399
440000,广东省,2007,1082,114941,13892,26791,22455,51803
440000,广东省,2006,1072,98994,13468,24970,19531,41025
440000,广东省,2005,1041,81442,12486,23836,17822,27298
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,551,71453,9157,17452,13767,
450000,广西壮族自治区,2018,531,62741,7792,13599,10714,
450000,广西壮族自治区,2017,769,59730,7337,13039,9375,
450000,广西壮族自治区,2016,486,30750,6419,10611,6796,
450000,广西壮族自治区,2015,390,27867,6074,9655,6784,
450000,广西壮族自治区,2014,348,26508,5475,8983,6779,
450000,广西壮族自治区,2013,372,25509,5463,8587,5609,
450000,广西壮族自治区,2012,359,23306,5278,8146,5347,
450000,广西壮族自治区,2011,349,21794,4903,7919,5010,3962
450000,广西壮族自治区,2010,330,19949,4760,7362,4499,3328
450000,广西壮族自治区,2009,332,20380,4781,7636,4869,3094
450000,广西壮族自治区,2008,305,19678,4560,6991,4819,3308
450000,广西壮族自治区,2007,303,19004,4516,7010,4567,2911
450000,广西壮族自治区,2006,286,17365,4275,6336,4430,2324
450000,广西壮族自治区,2005,283,17288,4172,6437,4229,2450
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,238,12324,1719,2819,2265,
460000,海南省,2018,227,11951,1534,2662,2418,
460000,海南省,2017,214,13284,1574,2638,2708,
460000,海南省,2016,187,11130,1497,2540,2749,
460000,海南省,2015,171,10200,1475,2436,2366,
460000,海南省,2014,136,9049,1484,2230,2160,
460000,海南省,2013,112,7210,1300,1843,1814,
460000,海南省,2012,112,8002,1273,1769,1852,
460000,海南省,2011,99,6653,1219,1750,1604,2080
460000,海南省,2010,89,6363,1200,1739,1508,1916
460000,海南省,2009,66,4965,929,1363,1129,1544
460000,海南省,2008,113,6211,1406,1954,1462,1389
460000,海南省,2007,107,6154,1394,1964,1520,1276
460000,海南省,2006,100,5830,1314,1844,1437,1235
460000,海南省,2005,103,5815,1254,1861,1427,1273
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,515,49453,9451,13819,7700,
500000,重庆市,2018,517,48539,9039,13677,6957,
500000,重庆市,2017,503,47407,7878,12557,6927,
500000,重庆市,2016,479,47399,7450,12196,7507,
500000,重庆市,2015,464,44706,7192,11788,8191,
500000,重庆市,2014,451,41869,6815,11542,8794,
500000,重庆市,2013,438,34796,6073,10227,7652,
500000,重庆市,2012,410,33741,6024,9934,6987,
500000,重庆市,2011,357,31275,5634,9119,5889,10633
500000,重庆市,2010,265,25403,5546,8070,5057,6730
500000,重庆市,2009,256,23823,5094,6954,4248,7527
500000,重庆市,2008,202,20630,4699,5998,3694,6239
500000,重庆市,2007,259,24597,5419,6792,4006,8380
500000,重庆市,2006,265,25317,5326,6525,4100,9366
500000,重庆市,2005,267,22501,5460,6666,3637,6738
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,1151,188108,24336,39443,25389,
510000,四川省,2018,1447,179381,23799,40470,25395,
510000,四川省,2017,1364,213580,24260,43016,35299,
510000,四川省,2016,671,101564,16954,26481,19272,
510000,四川省,2015,490,65801,13191,19795,11785,
510000,四川省,2014,467,71517,11866,20121,14586,
510000,四川省,2013,437,65863,11675,17891,13256,
510000,四川省,2012,525,73401,12678,18987,14914,
510000,四川省,2011,537,66717,11945,18128,14062,22582
510000,四川省,2010,548,63899,11462,16952,12503,22982
510000,四川省,2009,571,54372,11323,15381,11758,15910
510000,四川省,2008,656,55208,11861,16527,11178,15642
510000,四川省,2007,767,62745,13649,18918,13107,17071
510000,四川省,2006,824,66339,13841,19638,13774,19086
510000,四川省,2005,823,62465,13616,19309,13278,16262
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,303,39291,6234,7816,6468,
520000,贵州省,2018,311,93690,7375,10445,10258,
520000,贵州省,2017,301,93608,6948,10110,10376,
520000,贵州省,2016,271,74600,5743,7845,8229,
520000,贵州省,2015,244,69380,5493,8054,8772,
520000,贵州省,2014,230,58647,4324,7031,6725,
520000,贵州省,2013,231,57949,4071,6870,6822,
520000,贵州省,2012,205,54486,3698,7037,6803,
520000,贵州省,2011,216,33947,3362,6233,5515,18837
520000,贵州省,2010,202,29423,3252,6008,5219,14944
520000,贵州省,2009,271,17413,2845,5220,4351,4997
520000,贵州省,2008,304,18645,3014,5647,4721,5263
520000,贵州省,2007,156,10770,2099,3313,2636,2722
520000,贵州省,2006,260,14274,2460,4438,3827,3549
520000,贵州省,2005,288,16683,2824,5298,4672,3889
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,763,63357,10264,15699,12633,
530000,云南省,2018,745,55697,9607,14946,11677,
530000,云南省,2017,728,44166,8320,13221,8762,
530000,云南省,2016,667,35122,7738,12156,7518,
530000,云南省,2015,702,36620,7614,12574,8473,
530000,云南省,2014,650,36345,7079,12198,8460,
530000,云南省,2013,584,32958,6296,11179,8294,
530000,云南省,2012,561,35150,5828,10683,8140,
530000,云南省,2011,578,32063,5717,11127,8230,6989
530000,云南省,2010,541,40072,5314,10375,7520,16863
530000,云南省,2009,497,26207,5015,9697,6512,4983
530000,云南省,2008,495,26539,4738,9725,6501,5575
530000,云南省,2007,483,26436,4703,9594,6360,5779
530000,云南省,2006,462,24534,4474,9194,6505,4361
530000,云南省,2005,489,24306,4321,8711,6097,5177
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,53,4252,410,622,482,
540000,西藏自治区,2018,33,1655,220,434,208,
540000,西藏自治区,2017,79,4163,529,1115,901,
540000,西藏自治区,2016,66,2952,369,751,673,
540000,西藏自治区,2015,43,2450,282,573,493,
540000,西藏自治区,2014,1,45,3,3,1,
540000,西藏自治区,2013,1,43,3,3,1,
540000,西藏自治区,2012,6,139,22,35,23,
540000,西藏自治区,2011,16,985,71,156,85,673
540000,西藏自治区,2010,18,821,117,233,197,274
540000,西藏自治区,2009,24,1270,157,386,266,461
540000,西藏自治区,2008,28,1141,174,375,301,291
540000,西藏自治区,2007,36,1340,188,390,350,412
540000,西藏自治区,2006,32,1479,204,392,331,552
540000,西藏自治区,2005,41,1851,227,597,478,549
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,1032,136494,18035,27899,21273,
610000,陕西省,2018,860,105151,14854,21317,16279,
610000,陕西省,2017,838,102109,16577,21511,17048,
610000,陕西省,2016,579,75923,11911,14554,10046,
610000,陕西省,2015,633,68702,13053,17351,12600,
610000,陕西省,2014,724,73926,14166,19109,13777,
610000,陕西省,2013,671,71707,13423,17712,13070,
610000,陕西省,2012,674,73875,13404,18019,14489,
610000,陕西省,2011,634,67360,12920,17036,12915,24489
610000,陕西省,2010,533,57337,12080,15245,10903,19109
610000,陕西省,2009,534,61293,12521,14728,10650,23394
610000,陕西省,2008,588,67195,12146,15179,11783,28087
610000,陕西省,2007,526,62057,11474,14109,10838,25636
610000,陕西省,2006,449,49827,10253,11673,8624,19277
610000,陕西省,2005,480,51266,10377,12452,8850,19587
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,262,29331,5320,8494,6384,
620000,甘肃省,2018,299,30801,5327,8013,6068,
620000,甘肃省,2017,309,21698,5040,7397,4184,
620000,甘肃省,2016,299,20061,4894,7405,4207,
620000,甘肃省,2015,292,18729,4416,6779,4251,
620000,甘肃省,2014,269,17495,4263,6400,4047,
620000,甘肃省,2013,259,19171,4317,6597,4183,
620000,甘肃省,2012,234,17555,4020,6013,3466,
620000,甘肃省,2011,221,18962,4078,6033,3560,5291
620000,甘肃省,2010,209,16971,3752,5801,3519,3899
620000,甘肃省,2009,199,18223,3848,5773,3614,4988
620000,甘肃省,2008,234,18124,3998,6202,4043,3881
620000,甘肃省,2007,231,18941,3827,6108,3979,5027
620000,甘肃省,2006,229,22107,4790,7003,4220,6094
620000,甘肃省,2005,227,21922,4552,7100,4104,6166
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,144,6920,1482,1958,1323,
630000,青海省,2018,144,7063,1518,1956,1413,
