省份编码,省份,年份,建设工程监理企业单位数(个),建设工程监理企业从业人数(人),建设工程监理企业高、中级职称人员数(人),建设工程监理企业注册执业人数(人),建设工程监理企业注册监理工程师(人),建设工程监理企业其他注册执业人员(人)
140000,山西省,2012,225,27124,16194,5040,3622,
140000,山西省,2011,225,24057,14741,4565,3251,1314
140000,山西省,2010,215,20079,12293,4576,2909,1667
140000,山西省,2009,172,16664,10129,3552,2605,947
140000,山西省,2008,191,15677,9702,3092,1986,1106
140000,山西省,2007,167,13486,8047,2623,1195,1428
140000,山西省,2006,185,13235,2109,2915,1702,1213
140000,山西省,2005,182,12644,8002,3276,1802,1474
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,140,11240,6782,3006,2095,
150000,内蒙古自治区,2018,166,12778,7194,3158,2317,
150000,内蒙古自治区,2017,158,13765,8323,3731,2686,
150000,内蒙古自治区,2016,162,13486,8442,3489,2513,
150000,内蒙古自治区,2015,167,12851,8593,3395,2467,
150000,内蒙古自治区,2014,164,13108,9050,3155,2279,
150000,内蒙古自治区,2013,156,12889,,2997,,
150000,内蒙古自治区,2012,150,12483,8951,2643,1863,
150000,内蒙古自治区,2011,147,12902,9319,2493,1788,705
150000,内蒙古自治区,2010,125,11340,8219,2135,1530,605
150000,内蒙古自治区,2009,99,8868,6690,1879,1406,473
150000,内蒙古自治区,2008,205,11718,9035,1272,1049,223
150000,内蒙古自治区,2007,204,10944,8809,848,796,52
150000,内蒙古自治区,2006,200,10013,1964,817,792,25
150000,内蒙古自治区,2005,200,9359,7508,702,669,33
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,277,23443,15357,7148,4638,
210000,辽宁省,2018,295,21066,13869,7339,4963,
210000,辽宁省,2017,311,24340,15727,8367,5641,
210000,辽宁省,2016,306,23852,15622,8066,5703,
210000,辽宁省,2015,307,24180,15407,8219,5900,
210000,辽宁省,2014,307,27632,18098,7581,5663,
210000,辽宁省,2013,303,28296,,7384,,
210000,辽宁省,2012,294,26801,17501,6855,5186,
210000,辽宁省,2011,293,25886,17586,6516,5075,1441
210000,辽宁省,2010,291,22021,14983,5917,4673,1244
210000,辽宁省,2009,276,18739,13403,5709,4642,1067
210000,辽宁省,2008,291,18596,12942,5006,4152,854
210000,辽宁省,2007,302,17762,13022,4053,3378,675
210000,辽宁省,2006,306,16806,3725,3685,3311,374
210000,辽宁省,2005,289,14352,11026,4046,3591,455
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,191,16375,10164,4615,2558,
220000,吉林省,2018,190,17398,10463,4665,2911,
220000,吉林省,2017,190,17192,10630,4599,3000,
220000,吉林省,2016,184,16056,9781,4120,2708,
220000,吉林省,2015,188,17437,10900,3866,2619,
220000,吉林省,2014,195,18210,11220,3694,2673,
220000,吉林省,2013,181,16789,,3370,,
220000,吉林省,2012,189,16682,10410,3342,2484,
220000,吉林省,2011,186,15386,10022,3149,2374,775
220000,吉林省,2010,174,13373,8983,2968,2188,780
220000,吉林省,2009,142,11231,7589,2530,2005,525
220000,吉林省,2008,158,10442,7217,2297,1802,495
220000,吉林省,2007,165,9874,6701,1958,1637,321
220000,吉林省,2006,163,8910,1926,1647,1540,107
220000,吉林省,2005,157,8351,6017,1756,1690,66
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,188,16980,11932,3813,2124,
230000,黑龙江省,2018,218,18264,13471,4499,2935,
230000,黑龙江省,2017,218,23697,17140,4560,2977,
230000,黑龙江省,2016,210,22953,16804,4303,2881,
230000,黑龙江省,2015,228,24755,18284,4440,3180,
230000,黑龙江省,2014,241,26370,20290,4191,3075,
230000,黑龙江省,2013,232,25757,,3959,,
230000,黑龙江省,2012,230,25384,18377,4070,3026,
230000,黑龙江省,2011,230,22603,16203,3834,2855,979
230000,黑龙江省,2010,199,16644,12196,3249,2398,851
230000,黑龙江省,2009,121,11181,8029,2508,1950,558
230000,黑龙江省,2008,176,13202,10060,2918,2220,698
230000,黑龙江省,2007,182,11508,8780,2092,1627,465
230000,黑龙江省,2006,167,11594,2223,1962,1435,527
230000,黑龙江省,2005,115,7347,5732,1590,1377,213
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,220,56980,23911,14217,7986,
310000,上海市,2018,215,51492,23295,12863,7945,
310000,上海市,2017,194,48575,21990,12315,7434,
310000,上海市,2016,182,45929,20051,11178,6816,
310000,上海市,2015,185,46906,21009,10490,6630,
310000,上海市,2014,177,45211,20177,9098,6058,
310000,上海市,2013,178,44932,,9173,,
310000,上海市,2012,188,42915,20031,8602,5566,
310000,上海市,2011,193,41627,19731,7899,5258,2641
310000,上海市,2010,189,40237,19373,7430,4968,2462
310000,上海市,2009,199,37547,17701,7136,5380,1756
310000,上海市,2008,219,35044,17239,7119,5094,2025
310000,上海市,2007,220,32891,16806,6232,4181,2051
310000,上海市,2006,222,32323,4872,5787,4308,1479
310000,上海市,2005,232,30998,15291,6673,5213,1460
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
320000,江苏省,2019,741,102226,45714,40823,17723,
320000,江苏省,2018,754,94147,44912,39747,18386,
320000,江苏省,2017,734,87577,43613,34945,16155,
320000,江苏省,2016,701,81831,39509,30351,15439,
320000,江苏省,2015,705,78356,37415,24955,15382,
320000,江苏省,2014,713,80863,37648,21443,14115,
320000,江苏省,2013,658,75692,,18704,,
320000,江苏省,2012,622,68384,33168,16979,11596,
320000,江苏省,2011,602,62642,30355,14931,10455,4476
320000,江苏省,2010,567,56010,27828,13236,9248,3988
320000,江苏省,2009,534,48813,25314,11902,8988,2914
320000,江苏省,2008,512,44299,23025,10375,7727,2648
320000,江苏省,2007,506,42112,22188,9274,6799,2475
320000,江苏省,2006,518,39296,5593,8683,7440,1243
320000,江苏省,2005,525,37372,20063,9130,7558,1572
320000,江苏省,2004,,,,,,
320000,江苏省,2003,,,,,,
320000,江苏省,2002,,,,,,
320000,江苏省,2001,,,,,,
320000,江苏省,2000,,,,,,
330000,浙江省,2019,542,86489,32286,25028,14234,
330000,浙江省,2018,525,76717,30398,22179,14003,
330000,浙江省,2017,489,67160,28669,20126,12429,
330000,浙江省,2016,437,56707,24995,16972,10839,
330000,浙江省,2015,428,54897,24634,15427,10543,
330000,浙江省,2014,402,54339,24203,13025,9271,
330000,浙江省,2013,366,51572,,12208,,
330000,浙江省,2012,345,45955,20424,10778,7755,
330000,浙江省,2011,341,41888,18903,9820,7289,2531
330000,浙江省,2010,322,37877,17628,9195,6565,2630
330000,浙江省,2009,269,31450,15354,7684,5970,1714
330000,浙江省,2008,279,28506,13972,7166,5445,1721
330000,浙江省,2007,274,26973,13605,5476,4271,1205
330000,浙江省,2006,285,25511,2793,5498,4857,641
330000,浙江省,2005,266,22568,11118,5270,4643,627
330000,浙江省,2004,,,,,,
330000,浙江省,2003,,,,,,
330000,浙江省,2002,,,,,,
330000,浙江省,2001,,,,,,
330000,浙江省,2000,,,,,,
340000,安徽省,2019,416,42202,18466,12201,5901,
340000,安徽省,2018,344,37790,17989,11126,5981,
340000,安徽省,2017,300,42407,17335,9639,4995,
340000,安徽省,2016,282,31241,16018,7509,4522,
340000,安徽省,2015,279,32814,15184,7047,4600,
340000,安徽省,2014,249,29730,14690,6149,4004,
340000,安徽省,2013,231,27434,,5557,,
340000,安徽省,2012,230,27711,13348,5135,3277,
340000,安徽省,2011,223,25977,12622,4782,3055,1727
340000,安徽省,2010,210,22607,11385,4096,2593,1503
340000,安徽省,2009,196,19999,10393,4020,2772,1248
340000,安徽省,2008,193,16274,8607,3303,2484,819
340000,安徽省,2007,195,14899,8159,2680,2108,572
340000,安徽省,2006,187,13584,2159,2673,2330,343
340000,安徽省,2005,186,12619,6843,2732,2363,369
340000,安徽省,2004,,,,,,
340000,安徽省,2003,,,,,,
340000,安徽省,2002,,,,,,
340000,安徽省,2001,,,,,,
340000,安徽省,2000,,,,,,
350000,福建省,2019,488,103911,25495,15857,7061,
350000,福建省,2018,446,68042,23320,15161,7173,
350000,福建省,2017,372,42827,20689,14816,6622,
350000,福建省,2016,316,53169,17871,12812,5965,
350000,福建省,2015,274,31707,15267,8667,5349,
350000,福建省,2014,232,27813,14009,6590,4445,
350000,福建省,2013,154,21830,,4979,,
350000,福建省,2012,162,21357,11281,5271,3522,
350000,福建省,2011,163,20486,10712,4937,3333,1604
350000,福建省,2010,159,17153,9156,4168,2936,1232
350000,福建省,2009,158,14928,8200,4186,3032,1154
350000,福建省,2008,177,14893,8428,4191,2746,1445
350000,福建省,2007,182,14726,8457,3459,2132,1327
350000,福建省,2006,187,13622,1839,3521,2546,975
350000,福建省,2005,167,11752,6858,3002,2416,586
350000,福建省,2004,,,,,,
350000,福建省,2003,,,,,,
350000,福建省,2002,,,,,,
350000,福建省,2001,,,,,,
350000,福建省,2000,,,,,,
360000,江西省,2019,181,29672,8473,5386,2762,
360000,江西省,2018,182,28353,8698,5385,3014,
360000,江西省,2017,159,15800,7684,4639,2593,
360000,江西省,2016,153,14878,7431,4319,2367,
360000,江西省,2015,155,14348,7281,3417,2367,
360000,江西省,2014,152,14740,7703,3195,2101,
360000,江西省,2013,147,13209,,2979,,
360000,江西省,2012,147,12991,6715,2831,1830,
360000,江西省,2011,139,11427,6125,2497,1704,793
360000,江西省,2010,137,10862,5966,2378,1623,755
360000,江西省,2009,128,9719,5397,2126,1565,561
360000,江西省,2008,172,10086,5682,2088,1442,646
360000,江西省,2007,169,9691,5620,1658,1094,564
360000,江西省,2006,168,9126,1487,1800,1509,291
360000,江西省,2005,156,8411,4782,1549,1416,133
360000,江西省,2004,,,,,,
360000,江西省,2003,,,,,,
360000,江西省,2002,,,,,,
360000,江西省,2001,,,,,,
360000,江西省,2000,,,,,,
370000,山东省,2019,565,73683,32184,22026,11563,
370000,山东省,2018,553,64434,27940,19027,11228,
370000,山东省,2017,540,60320,26702,18028,10816,
370000,山东省,2016,516,55731,25177,16700,10233,
370000,山东省,2015,523,55242,24552,15182,10009,
370000,山东省,2014,521,56513,26140,13624,9293,
370000,山东省,2013,497,53985,,12451,,
370000,山东省,2012,499,52044,24491,11812,8357,
370000,山东省,2011,491,48630,23448,11087,8000,3087
370000,山东省,2010,476,43824,21759,9835,7346,2489
370000,山东省,2009,438,36845,19753,9431,7239,2192
370000,山东省,2008,435,34326,18796,8793,6494,2299
370000,山东省,2007,426,32886,18393,6770,4947,1823
370000,山东省,2006,440,31840,5312,6982,5869,1113
370000,山东省,2005,419,28814,16008,6777,5887,890
370000,山东省,2004,,,,,,
370000,山东省,2003,,,,,,
370000,山东省,2002,,,,,,
370000,山东省,2001,,,,,,
370000,山东省,2000,,,,,,
410000,河南省,2019,343,58377,26261,14985,8177,
410000,河南省,2018,316,54714,26120,12569,7812,
410000,河南省,2017,293,53318,25785,12714,7695,
410000,河南省,2016,296,50542,25920,11108,6959,
410000,河南省,2015,311,48546,25275,10017,6631,
410000,河南省,2014,322,46339,24580,9068,6084,
410000,河南省,2013,320,44857,,8811,,
410000,河南省,2012,307,39854,21675,8202,5424,
410000,河南省,2011,313,36995,20530,7674,5300,2374
410000,河南省,2010,282,31215,18010,6427,4484,1943
410000,河南省,2009,281,28268,17031,6332,4619,1713
410000,河南省,2008,282,26370,16227,6060,4493,1567
410000,河南省,2007,285,24589,14195,4909,3593,1316
410000,河南省,2006,293,23998,4114,4862,3942,920
410000,河南省,2005,286,20150,12109,4741,3969,772
410000,河南省,2004,,,,,,
410000,河南省,2003,,,,,,
410000,河南省,2002,,,,,,
410000,河南省,2001,,,,,,
410000,河南省,2000,,,,,,
420000,湖北省,2019,278,38318,20311,10357,5515,
420000,湖北省,2018,272,36722,20126,9330,5746,
420000,湖北省,2017,271,33887,19303,8840,5624,
420000,湖北省,2016,253,34035,18527,8062,5281,
420000,湖北省,2015,251,30515,16027,6773,5187,
420000,湖北省,2014,250,29437,16444,6266,4603,
420000,湖北省,2013,247,27606,,5827,,
420000,湖北省,2012,242,25818,15049,5537,4173,
420000,湖北省,2011,244,24152,14920,5435,4207,1228
420000,湖北省,2010,234,22787,14260,5011,3892,1119
420000,湖北省,2009,212,19522,13051,5059,3949,1110
420000,湖北省,2008,227,18290,12581,4463,3569,894
420000,湖北省,2007,219,15943,11293,3699,2964,735
420000,湖北省,2006,231,15490,3548,4059,3699,360
420000,湖北省,2005,224,14781,10739,4287,3785,502
420000,湖北省,2004,,,,,,
420000,湖北省,2003,,,,,,
420000,湖北省,2002,,,,,,
420000,湖北省,2001,,,,,,
420000,湖北省,2000,,,,,,
430000,湖南省,2019,266,52744,24379,12066,6176,
430000,湖南省,2018,271,51179,23175,11665,6823,
430000,湖南省,2017,250,49965,22964,10958,6537,
430000,湖南省,2016,235,46286,21825,9935,5950,
430000,湖南省,2015,231,43343,20371,7978,5517,
430000,湖南省,2014,222,35408,19931,7220,4981,
430000,湖南省,2013,211,32363,,6553,,
430000,湖南省,2012,204,27304,16487,5856,4018,
430000,湖南省,2011,193,25047,14363,5209,3622,1587
430000,湖南省,2010,163,18748,10978,3961,2914,1047
430000,湖南省,2009,176,18439,11594,4088,3090,998
430000,湖南省,2008,195,16830,10905,3696,2676,1020
430000,湖南省,2007,200,17489,11571,2736,2100,636
430000,湖南省,2006,214,17292,3396,3476,3048,428
430000,湖南省,2005,165,14134,9395,3213,2528,685
430000,湖南省,2004,,,,,,
430000,湖南省,2003,,,,,,
430000,湖南省,2002,,,,,,
430000,湖南省,2001,,,,,,
430000,湖南省,2000,,,,,,
440000,广东省,2019,534,100286,42062,25551,14630,
440000,广东省,2018,563,89566,40678,22913,14524,
440000,广东省,2017,538,84782,39371,21300,13200,
440000,广东省,2016,498,71386,33972,18462,11852,
440000,广东省,2015,492,74332,32664,17213,11838,
440000,广东省,2014,490,70904,32405,16313,10947,
440000,广东省,2013,477,68608,,15401,,
440000,广东省,2012,467,63675,30082,14781,10062,
440000,广东省,2011,429,52944,27272,13543,9446,4097
440000,广东省,2010,399,46851,23650,12039,8415,3624
440000,广东省,2009,368,41652,21416,11259,8453,2806
440000,广东省,2008,427,40782,20985,11410,8320,3090
440000,广东省,2007,408,35225,19181,9291,6721,2570
440000,广东省,2006,389,31559,4761,9105,7320,1785
440000,广东省,2005,382,28742,16960,9203,7344,1859
440000,广东省,2004,,,,,,
440000,广东省,2003,,,,,,
440000,广东省,2002,,,,,,
440000,广东省,2001,,,,,,
440000,广东省,2000,,,,,,
450000,广西壮族自治区,2019,222,26098,11942,7454,4162,
450000,广西壮族自治区,2018,213,23540,10567,7219,4345,
450000,广西壮族自治区,2017,182,21439,10050,6396,3646,
450000,广西壮族自治区,2016,166,18788,8783,5522,3333,
450000,广西壮族自治区,2015,163,17272,8255,4622,3156,
450000,广西壮族自治区,2014,164,15428,7341,4142,2794,
450000,广西壮族自治区,2013,157,14215,,3739,,
450000,广西壮族自治区,2012,153,13434,6315,3512,2364,
450000,广西壮族自治区,2011,154,13394,6209,3355,2267,1088
450000,广西壮族自治区,2010,145,12061,5770,3069,1962,1107
450000,广西壮族自治区,2009,131,10678,5338,2854,1945,909
450000,广西壮族自治区,2008,149,10077,5219,2816,1869,947
450000,广西壮族自治区,2007,153,9691,5130,2380,1669,711
450000,广西壮族自治区,2006,154,9270,1462,2167,1672,495
450000,广西壮族自治区,2005,155,8554,4722,2016,1444,572
450000,广西壮族自治区,2004,,,,,,
450000,广西壮族自治区,2003,,,,,,
450000,广西壮族自治区,2002,,,,,,
450000,广西壮族自治区,2001,,,,,,
450000,广西壮族自治区,2000,,,,,,
460000,海南省,2019,66,4220,1901,1147,661,
460000,海南省,2018,62,4566,1939,1362,817,
460000,海南省,2017,55,4363,2176,1159,653,
460000,海南省,2016,49,4000,1769,1173,705,
460000,海南省,2015,49,3715,1725,991,727,
460000,海南省,2014,45,3295,1668,890,646,
460000,海南省,2013,42,3326,,831,,
460000,海南省,2012,41,3366,1621,773,531,
460000,海南省,2011,38,3012,1510,733,533,200
460000,海南省,2010,38,2588,1332,683,487,196
460000,海南省,2009,30,2228,1186,587,447,140
460000,海南省,2008,38,2369,1324,634,506,128
460000,海南省,2007,36,1836,1187,441,391,50
460000,海南省,2006,35,1749,315,492,488,4
460000,海南省,2005,34,1535,978,471,471,
460000,海南省,2004,,,,,,
460000,海南省,2003,,,,,,
460000,海南省,2002,,,,,,
460000,海南省,2001,,,,,,
460000,海南省,2000,,,,,,
500000,重庆市,2019,130,32638,13683,8442,3952,
500000,重庆市,2018,118,29667,13810,8007,4008,
500000,重庆市,2017,107,25273,12043,6733,3556,
500000,重庆市,2016,102,22161,11041,5646,3006,
500000,重庆市,2015,99,21193,10231,4431,2576,
500000,重庆市,2014,94,22930,10590,3699,2372,
500000,重庆市,2013,90,20388,,3427,,
500000,重庆市,2012,93,19553,10106,3208,2077,
500000,重庆市,2011,87,17911,9335,2844,1894,950
500000,重庆市,2010,76,14570,8197,2659,1733,926
500000,重庆市,2009,56,10340,6484,2355,1588,767
500000,重庆市,2008,111,12153,7854,2733,1829,904
500000,重庆市,2007,109,11157,7252,2551,1613,938
500000,重庆市,2006,121,10679,2140,2417,1804,613
500000,重庆市,2005,108,9081,5996,2197,1566,631
500000,重庆市,2004,,,,,,
500000,重庆市,2003,,,,,,
500000,重庆市,2002,,,,,,
500000,重庆市,2001,,,,,,
500000,重庆市,2000,,,,,,
510000,四川省,2019,466,104849,38856,25605,12192,
510000,四川省,2018,421,86130,38073,23653,12176,
510000,四川省,2017,348,67692,34490,17340,9333,
510000,四川省,2016,339,65394,34592,15481,8678,
510000,四川省,2015,362,56076,29203,12397,8177,
510000,四川省,2014,338,61912,33656,12706,7724,
510000,四川省,2013,313,55536,,10032,,
510000,四川省,2012,299,50509,27659,9331,6160,
510000,四川省,2011,284,43263,23776,7924,5535,2389
510000,四川省,2010,253,36260,20766,6753,4650,2103
510000,四川省,2009,192,28385,17232,5183,3929,1254
510000,四川省,2008,258,26405,16283,5699,3966,1733
510000,四川省,2007,252,22849,14473,4791,3221,1570
510000,四川省,2006,283,23536,4326,4606,3523,1083
510000,四川省,2005,288,21564,13580,3764,3150,614
510000,四川省,2004,,,,,,
510000,四川省,2003,,,,,,
510000,四川省,2002,,,,,,
510000,四川省,2001,,,,,,
510000,四川省,2000,,,,,,
520000,贵州省,2019,175,17210,8186,5015,2318,
520000,贵州省,2018,191,18675,8417,4987,2488,
520000,贵州省,2017,148,20111,8984,4307,2148,
520000,贵州省,2016,111,16081,6890,2893,1646,
520000,贵州省,2015,113,15760,6726,2612,1617,
520000,贵州省,2014,98,13415,5937,1949,1277,
520000,贵州省,2013,77,12222,,1721,,
520000,贵州省,2012,68,10679,5016,1564,918,
520000,贵州省,2011,65,9567,4484,1404,847,557
520000,贵州省,2010,59,8030,3918,981,552,429
520000,贵州省,2009,41,6180,3058,901,572,329
520000,贵州省,2008,46,5090,2742,1092,491,601
520000,贵州省,2007,46,4718,2552,924,332,592
520000,贵州省,2006,60,5360,997,1036,490,546
520000,贵州省,2005,60,4999,2593,1015,545,470
520000,贵州省,2004,,,,,,
520000,贵州省,2003,,,,,,
520000,贵州省,2002,,,,,,
520000,贵州省,2001,,,,,,
520000,贵州省,2000,,,,,,
530000,云南省,2019,170,30457,11937,5733,2528,
530000,云南省,2018,176,30581,11565,3598,2660,
530000,云南省,2017,172,20768,9109,4387,2502,
530000,云南省,2016,170,20506,8601,3685,2320,
530000,云南省,2015,146,18351,8747,3246,2279,
530000,云南省,2014,144,19417,9292,3040,2154,
530000,云南省,2013,140,18480,,2588,,
530000,云南省,2012,141,17558,8649,2405,1803,
530000,云南省,2011,166,17357,8362,2157,1644,513
530000,云南省,2010,168,16365,7774,1799,1337,462
530000,云南省,2009,155,15244,7177,1533,1235,298
530000,云南省,2008,163,10899,5411,1134,849,285
530000,云南省,2007,157,20633,6351,710,464,246
530000,云南省,2006,166,10459,1285,973,783,190
530000,云南省,2005,168,9435,5078,1232,779,453
530000,云南省,2004,,,,,,
530000,云南省,2003,,,,,,
530000,云南省,2002,,,,,,
530000,云南省,2001,,,,,,
530000,云南省,2000,,,,,,
540000,西藏自治区,2019,47,1287,523,580,378,
540000,西藏自治区,2018,9,439,170,150,98,
540000,西藏自治区,2017,43,1319,538,294,198,
540000,西藏自治区,2016,23,865,431,131,75,
540000,西藏自治区,2015,3,124,96,18,18,
540000,西藏自治区,2014,7,411,242,78,68,
540000,西藏自治区,2013,,,,,,
540000,西藏自治区,2012,1,58,30,6,6,
540000,西藏自治区,2011,14,504,311,77,49,28
540000,西藏自治区,2010,24,747,451,96,72,24
540000,西藏自治区,2009,21,635,397,102,87,15
540000,西藏自治区,2008,21,662,377,118,92,26
540000,西藏自治区,2007,31,924,511,162,77,85
540000,西藏自治区,2006,16,501,64,55,19,36
540000,西藏自治区,2005,16,501,275,55,19,36
540000,西藏自治区,2004,,,,,,
540000,西藏自治区,2003,,,,,,
540000,西藏自治区,2002,,,,,,
540000,西藏自治区,2001,,,,,,
540000,西藏自治区,2000,,,,,,
610000,陕西省,2019,386,42891,22855,12369,5253,
610000,陕西省,2018,428,41553,22184,9538,4873,
610000,陕西省,2017,474,39833,20706,7592,3980,
610000,陕西省,2016,438,36783,20346,6392,3409,
610000,陕西省,2015,438,35505,19327,5791,3462,
610000,陕西省,2014,417,33855,18694,5789,3732,
610000,陕西省,2013,363,32399,,5436,,
610000,陕西省,2012,317,29292,16060,5131,3049,
610000,陕西省,2011,280,25745,14648,4413,2423,1990
610000,陕西省,2010,230,23294,13200,4380,2098,2282
610000,陕西省,2009,201,20168,11695,3405,2147,1258
610000,陕西省,2008,182,17166,10529,2907,1832,1075
610000,陕西省,2007,177,14238,9387,1931,1294,637
610000,陕西省,2006,177,14006,2868,2220,1745,475
610000,陕西省,2005,191,12151,8367,2037,1749,288
610000,陕西省,2004,,,,,,
610000,陕西省,2003,,,,,,
610000,陕西省,2002,,,,,,
610000,陕西省,2001,,,,,,
610000,陕西省,2000,,,,,,
620000,甘肃省,2019,201,17078,8643,4871,2869,
620000,甘肃省,2018,195,17307,8950,5000,3171,
620000,甘肃省,2017,189,18160,8854,5363,3578,
620000,甘肃省,2016,178,18405,9272,5016,3291,
620000,甘肃省,2015,171,15889,8814,4732,3228,
620000,甘肃省,2014,155,16196,8813,3859,2768,
620000,甘肃省,2013,141,15284,,3538,,
620000,甘肃省,2012,137,13861,7747,3299,2365,
620000,甘肃省,2011,128,12701,7270,2913,2117,796
620000,甘肃省,2010,124,13224,7897,2457,1661,796
620000,甘肃省,2009,104,10571,6576,2336,1689,647
620000,甘肃省,2008,111,8308,5133,2045,1387,658
620000,甘肃省,2007,120,8593,5543,2144,1299,845
620000,甘肃省,2006,121,8071,1502,2094,1313,781
620000,甘肃省,2005,117,6885,4503,2105,1096,1009
620000,甘肃省,2004,,,,,,
620000,甘肃省,2003,,,,,,
620000,甘肃省,2002,,,,,,
620000,甘肃省,2001,,,,,,
620000,甘肃省,2000,,,,,,
630000,青海省,2019,77,4464,1862,1298,502,
630000,青海省,2018,75,4826,1942,1330,680,
630000,青海省,2017,65,3712,1529,1058,639,
630000,青海省,2016,63,3853,1750,902,616,
630000,青海省,2015,64,3917,1706,783,546,
630000,青海省,2014,62,3582,1650,575,408,
630000,青海省,2013,57,3444,,594,,
630000,青海省,2012,56,3417,1436,486,332,
630000,青海省,2011,53,3094,1487,491,351,140
630000,青海省,2010,51,2707,1367,521,385,136
630000,青海省,2009,31,1726,918,378,251,127
630000,青海省,2008,50,2217,1180,539,355,184
630000,青海省,2007,52,2357,1258,408,258,150
630000,青海省,2006,53,2477,363,372,284,88
630000,青海省,2005,52,2361,1328,525,269,256
630000,青海省,2004,,,,,,
630000,青海省,2003,,,,,,
