省份编码,省份,年份,建筑业企业利润总额(亿元)
350000,福建省,2002,9.174
350000,福建省,2001,8.9109
350000,福建省,2000,2.5831
360000,江西省,2019,232.04904
360000,江西省,2018,227.99964
360000,江西省,2017,197.92963
360000,江西省,2016,186.80104
360000,江西省,2015,162.89103
360000,江西省,2014,156.45303
360000,江西省,2013,
360000,江西省,2012,94.80412
360000,江西省,2011,62.37206
360000,江西省,2010,56.19013
360000,江西省,2009,42.11759
360000,江西省,2008,39.0995
360000,江西省,2007,18.85024
360000,江西省,2006,13.48487
360000,江西省,2005,15.5667
360000,江西省,2004,7.37774
360000,江西省,2003,5.8418
360000,江西省,2002,4.0478
360000,江西省,2001,1.5635
360000,江西省,2000,0.6157
370000,山东省,2019,412.48148
370000,山东省,2018,403.02039
370000,山东省,2017,465.40208
370000,山东省,2016,415.2766
370000,山东省,2015,407.13274
370000,山东省,2014,424.86403
370000,山东省,2013,
370000,山东省,2012,318.68552
370000,山东省,2011,291.77231
370000,山东省,2010,266.39676
370000,山东省,2009,206.51151
370000,山东省,2008,180.53031
370000,山东省,2007,119.00841
370000,山东省,2006,103.2536
370000,山东省,2005,86.7836
370000,山东省,2004,64.79713
370000,山东省,2003,41.0531
370000,山东省,2002,31.2306
370000,山东省,2001,26.2288
370000,山东省,2000,18.2235
410000,河南省,2019,588.73501
410000,河南省,2018,536.01911
410000,河南省,2017,473.98896
410000,河南省,2016,438.52695
410000,河南省,2015,337.46437
410000,河南省,2014,321.01169
410000,河南省,2013,
410000,河南省,2012,232.90062
410000,河南省,2011,200.09098
410000,河南省,2010,161.51391
410000,河南省,2009,118.71827
410000,河南省,2008,93.58628
410000,河南省,2007,57.49387
410000,河南省,2006,37.15022
410000,河南省,2005,25.5655
410000,河南省,2004,19.17619
410000,河南省,2003,9.4049
410000,河南省,2002,7.5985
410000,河南省,2001,5.8802
410000,河南省,2000,3.1281
420000,湖北省,2019,672.39952
420000,湖北省,2018,733.90604
420000,湖北省,2017,515.1008
420000,湖北省,2016,475.71948
420000,湖北省,2015,472.60612
420000,湖北省,2014,391.02088
420000,湖北省,2013,
420000,湖北省,2012,278.55181
420000,湖北省,2011,231.58973
420000,湖北省,2010,180.83774
420000,湖北省,2009,126.54786
420000,湖北省,2008,93.40294
420000,湖北省,2007,69.88374
420000,湖北省,2006,40.33779
420000,湖北省,2005,26.6394
420000,湖北省,2004,28.40901
420000,湖北省,2003,19.0795
420000,湖北省,2002,12.9633
420000,湖北省,2001,8.8285
420000,湖北省,2000,5.8425
430000,湖南省,2019,324.53939
430000,湖南省,2018,317.5943
430000,湖南省,2017,246.76309
430000,湖南省,2016,230.30135
430000,湖南省,2015,216.33867
430000,湖南省,2014,208.1834
430000,湖南省,2013,
430000,湖南省,2012,149.64866
430000,湖南省,2011,124.76971
430000,湖南省,2010,104.79426
430000,湖南省,2009,84.55227
430000,湖南省,2008,112.11709
430000,湖南省,2007,54.56557
430000,湖南省,2006,37.65859
430000,湖南省,2005,28.7689
430000,湖南省,2004,25.57053
430000,湖南省,2003,15.4992
430000,湖南省,2002,11.124
430000,湖南省,2001,8.6497
430000,湖南省,2000,4.3938
440000,广东省,2019,570.26906
440000,广东省,2018,540.98728
440000,广东省,2017,461.0876
440000,广东省,2016,418.2841
440000,广东省,2015,384.87496
440000,广东省,2014,372.54861
440000,广东省,2013,
440000,广东省,2012,283.45881
440000,广东省,2011,251.68681
440000,广东省,2010,204.93906
440000,广东省,2009,173.16483
440000,广东省,2008,145.68912
440000,广东省,2007,138.85546
440000,广东省,2006,90.1868
440000,广东省,2005,70.5824
440000,广东省,2004,68.91418
440000,广东省,2003,57.1518
440000,广东省,2002,37.3902
440000,广东省,2001,37.3276
440000,广东省,2000,20.3926
450000,广西壮族自治区,2019,102.68621
450000,广西壮族自治区,2018,89.12989
450000,广西壮族自治区,2017,75.74867
450000,广西壮族自治区,2016,67.75425
450000,广西壮族自治区,2015,54.31775
450000,广西壮族自治区,2014,50.63599
450000,广西壮族自治区,2013,
450000,广西壮族自治区,2012,34.26735
450000,广西壮族自治区,2011,26.23677
450000,广西壮族自治区,2010,25.75947
450000,广西壮族自治区,2009,19.77636
450000,广西壮族自治区,2008,15.25333
450000,广西壮族自治区,2007,12.63431
450000,广西壮族自治区,2006,10.45711
450000,广西壮族自治区,2005,6.7651
450000,广西壮族自治区,2004,4.87152
450000,广西壮族自治区,2003,4.7095
450000,广西壮族自治区,2002,4.3171
450000,广西壮族自治区,2001,2.2519
450000,广西壮族自治区,2000,0.9147
460000,海南省,2019,16.02035
460000,海南省,2018,14.95364
460000,海南省,2017,12.45445
460000,海南省,2016,12.12322
460000,海南省,2015,11.40257
460000,海南省,2014,11.49845
460000,海南省,2013,
460000,海南省,2012,10.43287
460000,海南省,2011,6.44486
460000,海南省,2010,4.77956
460000,海南省,2009,5.52322
460000,海南省,2008,5.67589
460000,海南省,2007,1.46157
460000,海南省,2006,1.49821
460000,海南省,2005,2.5874
460000,海南省,2004,3.02353
460000,海南省,2003,1.4343
460000,海南省,2002,1.4339
460000,海南省,2001,0.6709
460000,海南省,2000,0.3907
500000,重庆市,2019,303.08884
500000,重庆市,2018,295.42952
500000,重庆市,2017,340.11907
500000,重庆市,2016,326.57298
500000,重庆市,2015,306.92537
500000,重庆市,2014,274.19499
500000,重庆市,2013,
500000,重庆市,2012,162.72761
500000,重庆市,2011,155.34307
500000,重庆市,2010,120.1834
500000,重庆市,2009,97.89681
500000,重庆市,2008,89.194
500000,重庆市,2007,38.61775
500000,重庆市,2006,28.29212
500000,重庆市,2005,19.9481
500000,重庆市,2004,18.08331
500000,重庆市,2003,13.7489
500000,重庆市,2002,9.9587
500000,重庆市,2001,9.0786
500000,重庆市,2000,4.931
510000,四川省,2019,400.20139
510000,四川省,2018,484.1238
510000,四川省,2017,279.06242
510000,四川省,2016,266.43574
510000,四川省,2015,221.49905
510000,四川省,2014,231.16963
510000,四川省,2013,
510000,四川省,2012,210.13503
510000,四川省,2011,177.19012
510000,四川省,2010,125.60128
510000,四川省,2009,95.07784
510000,四川省,2008,71.62974
510000,四川省,2007,46.6176
510000,四川省,2006,33.46701
510000,四川省,2005,27.6916
510000,四川省,2004,27.6323
510000,四川省,2003,25.9289
510000,四川省,2002,21.3687
510000,四川省,2001,15.0604
510000,四川省,2000,10.0995
520000,贵州省,2019,105.60629
520000,贵州省,2018,121.85105
520000,贵州省,2017,101.05091
520000,贵州省,2016,60.10836
520000,贵州省,2015,45.6094
520000,贵州省,2014,35.23333
520000,贵州省,2013,
520000,贵州省,2012,16.47247
520000,贵州省,2011,14.39198
520000,贵州省,2010,10.56354
520000,贵州省,2009,6.63313
520000,贵州省,2008,6.45249
520000,贵州省,2007,4.18931
520000,贵州省,2006,3.29888
520000,贵州省,2005,3.8331
520000,贵州省,2004,4.35023
520000,贵州省,2003,4.5525
520000,贵州省,2002,2.5997
520000,贵州省,2001,1.7334
520000,贵州省,2000,0.9855
530000,云南省,2019,254.75879
530000,云南省,2018,237.46147
530000,云南省,2017,163.1372
530000,云南省,2016,147.02386
530000,云南省,2015,123.53381
530000,云南省,2014,120.95992
530000,云南省,2013,
530000,云南省,2012,84.93404
530000,云南省,2011,61.88113
530000,云南省,2010,50.5251
530000,云南省,2009,38.66643
530000,云南省,2008,27.91062
530000,云南省,2007,26.63331
530000,云南省,2006,18.69837
530000,云南省,2005,18.7724
530000,云南省,2004,9.04203
530000,云南省,2003,8.0134
530000,云南省,2002,4.6553
530000,云南省,2001,4.6654
530000,云南省,2000,5.835
540000,西藏自治区,2019,29.83002
540000,西藏自治区,2018,21.64903
540000,西藏自治区,2017,20.11379
540000,西藏自治区,2016,11.57805
540000,西藏自治区,2015,7.84139
540000,西藏自治区,2014,4.59114
540000,西藏自治区,2013,
540000,西藏自治区,2012,3.97135
540000,西藏自治区,2011,5.7535
540000,西藏自治区,2010,9.15308
540000,西藏自治区,2009,12.06996
540000,西藏自治区,2008,4.58727
540000,西藏自治区,2007,5.28952
540000,西藏自治区,2006,3.11652
540000,西藏自治区,2005,2.8184
540000,西藏自治区,2004,1.77947
540000,西藏自治区,2003,1.8879
540000,西藏自治区,2002,1.4307
540000,西藏自治区,2001,1.1402
540000,西藏自治区,2000,0.7385
610000,陕西省,2019,187.69358
610000,陕西省,2018,220.71524
610000,陕西省,2017,170.99672
610000,陕西省,2016,163.41876
610000,陕西省,2015,128.64124
610000,陕西省,2014,129.32559
610000,陕西省,2013,
610000,陕西省,2012,100.28946
610000,陕西省,2011,104.38037
610000,陕西省,2010,58.30073
610000,陕西省,2009,73.89543
610000,陕西省,2008,49.25677
610000,陕西省,2007,22.46466
610000,陕西省,2006,12.12097
610000,陕西省,2005,10.0824
610000,陕西省,2004,6.99377
610000,陕西省,2003,4.6895
610000,陕西省,2002,3.4906
610000,陕西省,2001,2.4786
610000,陕西省,2000,1.4497
620000,甘肃省,2019,70.90775
620000,甘肃省,2018,55.14969
620000,甘肃省,2017,60.91391
620000,甘肃省,2016,64.37157
620000,甘肃省,2015,62.1023
620000,甘肃省,2014,63.76933
620000,甘肃省,2013,
620000,甘肃省,2012,48.4956
620000,甘肃省,2011,29.33195
620000,甘肃省,2010,25.99597
620000,甘肃省,2009,15.30891
620000,甘肃省,2008,15.77177
620000,甘肃省,2007,15.21431
620000,甘肃省,2006,9.79145
620000,甘肃省,2005,8.6565
620000,甘肃省,2004,6.84726
620000,甘肃省,2003,3.3042
620000,甘肃省,2002,2.2434
620000,甘肃省,2001,1.9906
620000,甘肃省,2000,1.9977
630000,青海省,2019,7.13666
630000,青海省,2018,10.94865
630000,青海省,2017,10.82029
630000,青海省,2016,15.51381
630000,青海省,2015,14.16955
630000,青海省,2014,13.91492
630000,青海省,2013,
630000,青海省,2012,11.27241
630000,青海省,2011,8.34797
630000,青海省,2010,6.25196
630000,青海省,2009,5.44195
630000,青海省,2008,3.63299
630000,青海省,2007,2.44683
630000,青海省,2006,0.88921
630000,青海省,2005,0.5797
630000,青海省,2004,0.60631
630000,青海省,2003,1.3601
630000,青海省,2002,1.378
630000,青海省,2001,0.5249
630000,青海省,2000,0.3812
640000,宁夏回族自治区,2019,15.19449
640000,宁夏回族自治区,2018,15.29588
640000,宁夏回族自治区,2017,20.35328
640000,宁夏回族自治区,2016,19.94992
640000,宁夏回族自治区,2015,17.87082
640000,宁夏回族自治区,2014,21.13862
640000,宁夏回族自治区,2013,
640000,宁夏回族自治区,2012,13.11346
640000,宁夏回族自治区,2011,11.25248
640000,宁夏回族自治区,2010,8.92346
640000,宁夏回族自治区,2009,6.32166
640000,宁夏回族自治区,2008,3.19345
640000,宁夏回族自治区,2007,2.52246
640000,宁夏回族自治区,2006,2.12232
640000,宁夏回族自治区,2005,2.1055
640000,宁夏回族自治区,2004,1.6779
640000,宁夏回族自治区,2003,1.5575
640000,宁夏回族自治区,2002,1.2354
640000,宁夏回族自治区,2001,1.3863
640000,宁夏回族自治区,2000,1.3722
650000,新疆维吾尔自治区,2019,45.37474
650000,新疆维吾尔自治区,2018,50.48398
650000,新疆维吾尔自治区,2017,61.65923
650000,新疆维吾尔自治区,2016,50.14913
650000,新疆维吾尔自治区,2015,48.13219
650000,新疆维吾尔自治区,2014,51.5769
650000,新疆维吾尔自治区,2013,
650000,新疆维吾尔自治区,2012,35.74467
650000,新疆维吾尔自治区,2011,27.60003
650000,新疆维吾尔自治区,2010,20.96978
650000,新疆维吾尔自治区,2009,15.77275
650000,新疆维吾尔自治区,2008,12.10728
650000,新疆维吾尔自治区,2007,6.82766
650000,新疆维吾尔自治区,2006,5.46114
650000,新疆维吾尔自治区,2005,4.683
650000,新疆维吾尔自治区,2004,6.58134
650000,新疆维吾尔自治区,2003,6.7205
650000,新疆维吾尔自治区,2002,-1.1011
650000,新疆维吾尔自治区,2001,-4.7485
650000,新疆维吾尔自治区,2000,-4.8022
